state_num,pew_bornagain,commonweight,state,state_name,population_total,year
51,2,1.29012038790015,VA,VIRGINIA,8683619,2022
37,2,0.429161510913012,NC,NORTH CAROLINA,10698973,2022
39,1,5.04520503873337,OH,OHIO,11756058,2022
26,2,0.8079106844352,MI,MICHIGAN,10034113,2022
39,2,0.478990722243877,OH,OHIO,11756058,2022
15,2,0.583844584812648,HI,HAWAII,1440196,2022
06,2,0.234076176826435,CA,CALIFORNIA,39029342,2022
17,1,3.00798105074253,IL,ILLINOIS,12582032,2022
04,2,3.24467589621737,AZ,ARIZONA,7359197,2022
27,2,0.126859297583082,MN,MINNESOTA,5717184,2022
20,2,0.587930456167164,KS,KANSAS,2937150,2022
29,2,2.34358709570249,MO,MISSOURI,6177957,2022
06,2,0.622897489359032,CA,CALIFORNIA,39029342,2022
45,1,2.57249467332635,SC,SOUTH CAROLINA,5282634,2022
34,2,1.61189872051789,NJ,NEW JERSEY,9261699,2022
26,2,3.40865380665659,MI,MICHIGAN,10034113,2022
51,2,3.15206361429545,VA,VIRGINIA,8683619,2022
27,1,2.9383686638649,MN,MINNESOTA,5717184,2022
31,1,0.362835055788564,NE,NEBRASKA,1967923,2022
17,2,1.73238634767874,IL,ILLINOIS,12582032,2022
39,2,0.486309656588971,OH,OHIO,11756058,2022
26,2,0.46647455139153,MI,MICHIGAN,10034113,2022
44,2,0.16246576777973,RI,RHODE ISLAND,1093734,2022
47,2,0.454022995102424,TN,TENNESSEE,7051339,2022
28,1,0.242097963089399,MS,MISSISSIPPI,2940057,2022
10,1,1.26722338020534,DE,DELAWARE,1018396,2022
17,1,1.03620642038441,IL,ILLINOIS,12582032,2022
06,2,0.200000332560193,CA,CALIFORNIA,39029342,2022
01,2,1.798758747789,AL,ALABAMA,5074296,2022
32,2,0.301809783325833,NV,NEVADA,3177772,2022
18,2,1.46404768068106,IN,INDIANA,6833037,2022
48,1,2.1641483429908,TX,TEXAS,30029572,2022
04,1,1.7987892963617,AZ,ARIZONA,7359197,2022
55,2,1.08225675691653,WI,WISCONSIN,5892539,2022
39,1,1.51375365970428,OH,OHIO,11756058,2022
48,1,0.207899562310431,TX,TEXAS,30029572,2022
06,2,0.955707174447724,CA,CALIFORNIA,39029342,2022
36,2,2.33713254974745,NY,NEW YORK,19677151,2022
34,2,0.20039057500606,NJ,NEW JERSEY,9261699,2022
20,2,0.265881914699339,KS,KANSAS,2937150,2022
12,1,0.314923508511651,FL,FLORIDA,22244823,2022
12,1,0.780150053460876,FL,FLORIDA,22244823,2022
12,2,0.20374685901922,FL,FLORIDA,22244823,2022
01,2,0.103536136022219,AL,ALABAMA,5074296,2022
29,1,0.085132722043437,MO,MISSOURI,6177957,2022
17,2,0.33617411032805,IL,ILLINOIS,12582032,2022
36,2,0.293076213721955,NY,NEW YORK,19677151,2022
48,2,0.17061241925698,TX,TEXAS,30029572,2022
25,2,1.26802551079855,MA,MASSACHUSETTS,6981974,2022
29,2,0.684618668472079,MO,MISSOURI,6177957,2022
39,2,0.176103063318201,OH,OHIO,11756058,2022
02,1,0.36346412564319,AK,ALASKA,733583,2022
28,1,0.168098631640368,MS,MISSISSIPPI,2940057,2022
24,2,0.205411487295354,MD,MARYLAND,6164660,2022
42,2,4.65771912022628,PA,PENNSYLVANIA,12972008,2022
19,2,0.254002612593365,IA,IOWA,3200517,2022
04,2,3.40647056946222,AZ,ARIZONA,7359197,2022
26,2,0.766006847152525,MI,MICHIGAN,10034113,2022
41,2,0.23657610109002,OR,OREGON,4240137,2022
37,2,0.414036310533297,NC,NORTH CAROLINA,10698973,2022
09,2,0.381460771826676,CT,CONNECTICUT,3626205,2022
48,1,0.525515027902604,TX,TEXAS,30029572,2022
26,2,0.830383063458924,MI,MICHIGAN,10034113,2022
13,1,0.140010928725848,GA,GEORGIA,10912876,2022
27,2,0.254338597738153,MN,MINNESOTA,5717184,2022
06,2,1.99622404565578,CA,CALIFORNIA,39029342,2022
29,1,0.631202546633405,MO,MISSOURI,6177957,2022
06,2,0.725584070792997,CA,CALIFORNIA,39029342,2022
05,1,2.35043620303962,AR,ARKANSAS,3045637,2022
41,2,0.569095437196577,OR,OREGON,4240137,2022
