state_name,year,ID
WISCONSIN,1991,249
WYOMING,1991,250
ALABAMA,1992,251
ALASKA,1992,252
ARIZONA,1992,253
ARKANSAS,1992,254
CALIFORNIA,1992,255
COLORADO,1992,256
CONNECTICUT,1992,257
DELAWARE,1992,258
FLORIDA,1992,259
GEORGIA,1992,260
HAWAII,1992,261
IDAHO,1992,262
ILLINOIS,1992,263
INDIANA,1992,264
IOWA,1992,265
KANSAS,1992,266
KENTUCKY,1992,267
LOUISIANA,1992,268
MAINE,1992,269
MARYLAND,1992,270
MASSACHUSETTS,1992,271
MICHIGAN,1992,272
MINNESOTA,1992,273
MISSISSIPPI,1992,274
MISSOURI,1992,275
MONTANA,1992,276
NEBRASKA,1992,277
NEVADA,1992,278
NEW HAMPSHIRE,1992,279
NEW JERSEY,1992,280
NEW MEXICO,1992,281
NEW YORK,1992,282
NORTH CAROLINA,1992,283
NORTH DAKOTA,1992,284
OHIO,1992,285
OKLAHOMA,1992,286
OREGON,1992,287
PENNSYLVANIA,1992,288
RHODE ISLAND,1992,289
SOUTH CAROLINA,1992,290
SOUTH DAKOTA,1992,291
TENNESSEE,1992,292
TEXAS,1992,293
UTAH,1992,294
VERMONT,1992,295
VIRGINIA,1992,296
WASHINGTON,1992,297
WEST VIRGINIA,1992,298
WISCONSIN,1992,299
WYOMING,1992,300
ALABAMA,1993,301
ALASKA,1993,302
ARIZONA,1993,303
ARKANSAS,1993,304
CALIFORNIA,1993,305
COLORADO,1993,306
CONNECTICUT,1993,307
DELAWARE,1993,308
FLORIDA,1993,309
GEORGIA,1993,310
HAWAII,1993,311
IDAHO,1993,312
ILLINOIS,1993,313
INDIANA,1993,314
IOWA,1993,315
KANSAS,1993,316
KENTUCKY,1993,317
LOUISIANA,1993,318
MAINE,1993,319
MARYLAND,1993,320
MASSACHUSETTS,1993,321
MICHIGAN,1993,322
MINNESOTA,1993,323
MISSISSIPPI,1993,324
MISSOURI,1993,325
MONTANA,1993,326
NEBRASKA,1993,327
NEVADA,1993,328
NEW HAMPSHIRE,1993,329
NEW JERSEY,1993,330
NEW MEXICO,1993,331
NEW YORK,1993,332
NORTH CAROLINA,1993,333
NORTH DAKOTA,1993,334
OHIO,1993,335
OKLAHOMA,1993,336
OREGON,1993,337
PENNSYLVANIA,1993,338
RHODE ISLAND,1993,339
SOUTH CAROLINA,1993,340
SOUTH DAKOTA,1993,341
TENNESSEE,1993,342
TEXAS,1993,343
UTAH,1993,344
VERMONT,1993,345
VIRGINIA,1993,346
WASHINGTON,1993,347
WEST VIRGINIA,1993,348
WISCONSIN,1993,349
WYOMING,1993,350
ALABAMA,1994,351
ALASKA,1994,352
ARIZONA,1994,353
ARKANSAS,1994,354
CALIFORNIA,1994,355
COLORADO,1994,356
CONNECTICUT,1994,357
DELAWARE,1994,358
FLORIDA,1994,359
GEORGIA,1994,360
HAWAII,1994,361
IDAHO,1994,362
ILLINOIS,1994,363
INDIANA,1994,364
IOWA,1994,365
KANSAS,1994,366
KENTUCKY,1994,367
LOUISIANA,1994,368
MAINE,1994,369
MARYLAND,1994,370
MASSACHUSETTS,1994,371
MICHIGAN,1994,372
MINNESOTA,1994,373
MISSISSIPPI,1994,374
MISSOURI,1994,375
MONTANA,1994,376
NEBRASKA,1994,377
NEVADA,1994,378
NEW HAMPSHIRE,1994,379
NEW JERSEY,1994,380
NEW MEXICO,1994,381
NEW YORK,1994,382
NORTH CAROLINA,1994,383
NORTH DAKOTA,1994,384
OHIO,1994,385
OKLAHOMA,1994,386
OREGON,1994,387
PENNSYLVANIA,1994,388
RHODE ISLAND,1994,389
SOUTH CAROLINA,1994,390
SOUTH DAKOTA,1994,391
TENNESSEE,1994,392
TEXAS,1994,393
UTAH,1994,394
VERMONT,1994,395
