state,state_name,incomepcap,year
RI,RHODE ISLAND,47199,2014
SC,SOUTH CAROLINA,38152,2014
SD,SOUTH DAKOTA,47488,2014
TN,TENNESSEE,40753,2014
TX,TEXAS,47370,2014
UT,UTAH,38168,2014
VT,VERMONT,47641,2014
VA,VIRGINIA,50318,2014
WA,WASHINGTON,50890,2014
WV,WEST VIRGINIA,36570,2014
WI,WISCONSIN,44709,2014
WY,WYOMING,57749,2014
AL,ALABAMA,38531,2015
AK,ALASKA,57575,2015
AZ,ARIZONA,40334,2015
AR,ARKANSAS,39968,2015
CA,CALIFORNIA,54546,2015
CO,COLORADO,52339,2015
CT,CONNECTICUT,67321,2015
DE,DELAWARE,47868,2015
FL,FLORIDA,45659,2015
GA,GEORGIA,41941,2015
HI,HAWAII,47777,2015
ID,IDAHO,39386,2015
IL,ILLINOIS,51443,2015
IN,INDIANA,42667,2015
IA,IOWA,46104,2015
KS,KANSAS,47332,2015
KY,KENTUCKY,39232,2015
LA,LOUISIANA,43113,2015
ME,MAINE,43672,2015
MD,MARYLAND,55825,2015
MA,MASSACHUSETTS,62376,2015
MI,MICHIGAN,43425,2015
MN,MINNESOTA,51985,2015
MS,MISSISSIPPI,35533,2015
MO,MISSOURI,43322,2015
MT,MONTANA,43941,2015
NE,NEBRASKA,50556,2015
NV,NEVADA,44493,2015
NH,NEW HAMPSHIRE,54684,2015
NJ,NEW JERSEY,59175,2015
NM,NEW MEXICO,38103,2015
NY,NEW YORK,57481,2015
NC,NORTH CAROLINA,42076,2015
ND,NORTH DAKOTA,53991,2015
OH,OHIO,44442,2015
OK,OKLAHOMA,44894,2015
OR,OREGON,44694,2015
PA,PENNSYLVANIA,49927,2015
RI,RHODE ISLAND,48682,2015
SC,SOUTH CAROLINA,40053,2015
SD,SOUTH DAKOTA,49186,2015
TN,TENNESSEE,42535,2015
TX,TEXAS,47465,2015
UT,UTAH,40459,2015
VT,VERMONT,48876,2015
VA,VIRGINIA,52238,2015
WA,WASHINGTON,53083,2015
WV,WEST VIRGINIA,37468,2015
WI,WISCONSIN,46548,2015
WY,WYOMING,57846,2015
AL,ALABAMA,39014,2016
AK,ALASKA,56278,2016
AZ,ARIZONA,41473,2016
AR,ARKANSAS,40873,2016
CA,CALIFORNIA,56560,2016
CO,COLORADO,52390,2016
CT,CONNECTICUT,68680,2016
DE,DELAWARE,48734,2016
FL,FLORIDA,46454,2016
GA,GEORGIA,43033,2016
HI,HAWAII,49122,2016
ID,IDAHO,40098,2016
IL,ILLINOIS,52036,2016
IN,INDIANA,43645,2016
IA,IOWA,46291,2016
KS,KANSAS,47326,2016
KY,KENTUCKY,39750,2016
LA,LOUISIANA,42725,2016
ME,MAINE,44740,2016
MD,MARYLAND,57632,2016
MA,MASSACHUSETTS,64295,2016
MI,MICHIGAN,44527,2016
MN,MINNESOTA,52596,2016
MS,MISSISSIPPI,36021,2016
MO,MISSOURI,44410,2016
MT,MONTANA,44063,2016
NE,NEBRASKA,49360,2016
NV,NEVADA,45450,2016
NH,NEW HAMPSHIRE,56321,2016
NJ,NEW JERSEY,60533,2016
NM,NEW MEXICO,38775,2016
NY,NEW YORK,59280,2016
NC,NORTH CAROLINA,42936,2016
ND,NORTH DAKOTA,52005,2016
OH,OHIO,45212,2016
OK,OKLAHOMA,42521,2016
OR,OREGON,45999,2016
PA,PENNSYLVANIA,51181,2016
RI,RHODE ISLAND,49184,2016
SC,SOUTH CAROLINA,41178,2016
SD,SOUTH DAKOTA,49192,2016
TN,TENNESSEE,43499,2016
TX,TEXAS,46586,2016
UT,UTAH,41750,2016
VT,VERMONT,49621,2016
VA,VIRGINIA,53268,2016
WA,WASHINGTON,54918,2016
WV,WEST VIRGINIA,37380,2016
WI,WISCONSIN,47205,2016
WY,WYOMING,54827,2016
AL,ALABAMA,40223,2017
AK,ALASKA,57189,2017
AZ,ARIZONA,43497,2017
AR,ARKANSAS,41890,2017
CA,CALIFORNIA,58804,2017
CO,COLORADO,55251,2017
CT,CONNECTICUT,70011,2017
DE,DELAWARE,50417,2017
FL,FLORIDA,49055,2017
GA,GEORGIA,44993,2017
HI,HAWAII,51114,2017
ID,IDAHO,41457,2017
IL,ILLINOIS,53611,2017
IN,INDIANA,45015,2017
IA,IOWA,47246,2017
KS,KANSAS,48651,2017
KY,KENTUCKY,40751,2017
LA,LOUISIANA,44056,2017
ME,MAINE,46378,2017
MD,MARYLAND,59155,2017
MA,MASSACHUSETTS,66679,2017
MI,MICHIGAN,45716,2017
MN,MINNESOTA,54266,2017
MS,MISSISSIPPI,36902,2017
MO,MISSOURI,45239,2017
MT,MONTANA,46036,2017
NE,NEBRASKA,50144,2017
NV,NEVADA,47485,2017
NH,NEW HAMPSHIRE,58362,2017
NJ,NEW JERSEY,62465,2017
NM,NEW MEXICO,39458,2017
NY,NEW YORK,62913,2017
NC,NORTH CAROLINA,44591,2017
ND,NORTH DAKOTA,52521,2017
OH,OHIO,46646,2017
OK,OKLAHOMA,44423,2017
OR,OREGON,47974,2017
PA,PENNSYLVANIA,52421,2017
RI,RHODE ISLAND,50982,2017
SC,SOUTH CAROLINA,42758,2017
SD,SOUTH DAKOTA,50104,2017
TN,TENNESSEE,44879,2017
TX,TEXAS,49231,2017
UT,UTAH,43241,2017
VT,VERMONT,50771,2017
VA,VIRGINIA,54879,2017
WA,WASHINGTON,57265,2017
WV,WEST VIRGINIA,39140,2017
WI,WISCONSIN,48758,2017
WY,WYOMING,57184,2017
AL,ALABAMA,41539,2018
AK,ALASKA,59618,2018
AZ,ARIZONA,45466,2018
AR,ARKANSAS,43384,2018
CA,CALIFORNIA,61508,2018
CO,COLORADO,58453,2018
CT,CONNECTICUT,72926,2018
DE,DELAWARE,52716,2018
FL,FLORIDA,51520,2018
GA,GEORGIA,46855,2018
HI,HAWAII,52164,2018
ID,IDAHO,43217,2018
IL,ILLINOIS,56536,2018
IN,INDIANA,46945,2018
IA,IOWA,49163,2018
KS,KANSAS,50663,2018
KY,KENTUCKY,41974,2018
LA,LOUISIANA,46057,2018
ME,MAINE,48141,2018
MD,MARYLAND,60577,2018
MA,MASSACHUSETTS,69693,2018
MI,MICHIGAN,47457,2018
MN,MINNESOTA,56539,2018
MS,MISSISSIPPI,37900,2018
MO,MISSOURI,47085,2018
MT,MONTANA,47612,2018
NE,NEBRASKA,51916,2018
NV,NEVADA,49678,2018
NH,NEW HAMPSHIRE,60831,2018
NJ,NEW JERSEY,64914,2018
NM,NEW MEXICO,41218,2018
NY,NEW YORK,64849,2018
NC,NORTH CAROLINA,46352,2018
ND,NORTH DAKOTA,55396,2018
OH,OHIO,48327,2018
OK,OKLAHOMA,46415,2018
OR,OREGON,50567,2018
PA,PENNSYLVANIA,55030,2018
RI,RHODE ISLAND,52659,2018
SC,SOUTH CAROLINA,44155,2018
