state_name,white_pop,hispanic_pop,black_pop,female_pop,year,state,population_total,pct_black,pct_white,pct_hispanic,pct_female,pct_male
INDIANA,5559694,439094,605660,3366591,2015,IN,6608422,0.0916497160744275,0.841304323482974,0.0664446065944336,0.509439469815941,0.490560530184059
IOWA,2826672,174318,106610,1574610,2015,IA,3120960,0.034159361222188,0.905705936634882,0.0558539680098431,0.504527453091357,0.495472546908644
KANSAS,2465799,336321,172109,1462417,2015,KS,2909011,0.0591640939137047,0.84764168990767,0.115613519508864,0.502719652830464,0.497280347169536
KENTUCKY,3865712,146127,355718,2250200,2015,KY,4425976,0.0803705216657298,0.873414586974715,0.0330157687253614,0.508407637095185,0.491592362904815
LOUISIANA,2914693,228578,1502375,2384425,2015,LA,4664628,0.322078202163174,0.624850041632473,0.0490024070515377,0.511171523216857,0.488828476783143
MAINE,1258074,20152,14795,678298,2015,ME,1328262,0.0111386157249097,0.947158015512,0.0151717055821818,0.51066581743662,0.48933418256338
MARYLAND,3395048,572263,1770161,3094053,2015,MD,5985562,0.295738478692561,0.567206220568762,0.0956072295299924,0.516919380335548,0.483080619664453
MASSACHUSETTS,5373238,757948,499357,3497038,2015,MA,6794228,0.0734972391270944,0.790853353758514,0.111557633921028,0.514707189691014,0.485292810308986
MICHIGAN,7801483,485972,1378111,5045509,2015,MI,9931715,0.138758613190169,0.785512169851833,0.0489313275703139,0.50801991398263,0.49198008601737
MINNESOTA,4614799,282040,320267,2759564,2015,MN,5482032,0.0584212204525621,0.841804462286977,0.0514480761878077,0.503383416951962,0.496616583048038
