state,state_name,year,percent_black,percent_female,percent_hs,percent_college
NC,NORTH CAROLINA,2010,19.6689386562804,51.8013631937683,69.2307692307692,29.4060370009737
NC,NORTH CAROLINA,2011,19.1425722831506,52.8414755732802,68.5942173479561,26.9192422731805
NC,NORTH CAROLINA,2012,18.7919463087248,51.581975071908,66.4429530201342,30.4889741131352
NC,NORTH CAROLINA,2013,19.9810606060606,52.2727272727273,65.3409090909091,27.5568181818182
NC,NORTH CAROLINA,2014,14.4028103044497,53.0444964871195,65.4566744730679,31.2646370023419
NC,NORTH CAROLINA,2015,18.2089552238806,52.5373134328358,67.4626865671642,31.044776119403
NC,NORTH CAROLINA,2016,14.0657084188912,51.8480492813142,66.9404517453799,31.6221765913758
NC,NORTH CAROLINA,2017,15.5260469867211,52.4004085801839,68.4371807967314,34.4228804902962
NC,NORTH CAROLINA,2018,17.0168067226891,49.8949579831933,68.0672268907563,31.6176470588235
NC,NORTH CAROLINA,2019,18.191161356629,50.6680369989723,71.3257965056526,37.7183967112025
NC,NORTH CAROLINA,2020,20.2614379084967,50.4357298474946,72.2222222222222,35.9477124183007
NC,NORTH CAROLINA,2021,16.8934240362812,50.3401360544218,73.3560090702948,36.6213151927438
ND,NORTH DAKOTA,1988,0.608272506082725,50.6082725060827,34.7931873479319,
ND,NORTH DAKOTA,1989,0.369458128078818,49.384236453202,33.743842364532,
ND,NORTH DAKOTA,1990,0.526315789473684,50.3947368421053,33.6842105263158,
ND,NORTH DAKOTA,1992,0.290275761973875,52.2496371552975,57.0391872278665,19.3033381712627
ND,NORTH DAKOTA,1994,0.171232876712329,52.054794520548,58.9041095890411,21.5753424657534
ND,NORTH DAKOTA,2000,0.720720720720721,52.972972972973,64.6846846846847,24.5045045045045
ND,NORTH DAKOTA,2002,0.127388535031847,48.0254777070064,66.1146496815287,24.8407643312102
ND,NORTH DAKOTA,2003,0.239520958083832,51.497005988024,67.6646706586826,24.4311377245509
ND,NORTH DAKOTA,2004,0.644122383252818,50.0805152979066,66.5056360708535,30.9178743961353
ND,NORTH DAKOTA,2005,0.142857142857143,49.2857142857143,66.1428571428572,32.4285714285714
ND,NORTH DAKOTA,2007,1.59883720930233,50.8720930232558,66.1337209302326,30.0872093023256
ND,NORTH DAKOTA,2008,0.295420974889217,53.4711964549483,68.3899556868538,32.4963072378139
ND,NORTH DAKOTA,2009,0.514579759862779,49.5711835334477,68.6106346483705,34.6483704974271
ND,NORTH DAKOTA,2010,0.610687022900763,52.6717557251909,69.1603053435115,33.2824427480916
ND,NORTH DAKOTA,2011,0.343642611683849,50.5154639175258,73.5395189003437,36.7697594501718
ND,NORTH DAKOTA,2012,0.757575757575758,52.1212121212121,71.5151515151515,36.969696969697
ND,NORTH DAKOTA,2014,4.48979591836735,51.6326530612245,70,35.3061224489796
ND,NORTH DAKOTA,2015,0.938086303939962,48.2176360225141,70.7317073170732,36.0225140712946
ND,NORTH DAKOTA,2016,2.55009107468124,48.6338797814208,75.7741347905282,38.615664845173
ND,NORTH DAKOTA,2017,0.551470588235294,49.6323529411765,71.875,35.6617647058824
ND,NORTH DAKOTA,2018,3.76344086021505,48.2078853046595,74.3727598566308,34.9462365591398
ND,NORTH DAKOTA,2019,2.63543191800879,47.7306002928258,73.792093704246,39.0922401171303
ND,NORTH DAKOTA,2020,2.47524752475248,48.6798679867987,72.9372937293729,41.2541254125413
ND,NORTH DAKOTA,2021,3.18021201413428,48.4098939929329,72.791519434629,34.2756183745583
NE,NEBRASKA,1987,5.75635876840696,53.8152610441767,28.1124497991968,
NE,NEBRASKA,1988,1.68776371308017,49.929676511955,30.6610407876231,
NE,NEBRASKA,1989,3.10296191819464,54.7249647390691,28.7729196050776,
NE,NEBRASKA,1990,1.26760563380282,53.0985915492958,34.6478873239437,
NE,NEBRASKA,1991,4.84261501210654,52.0581113801453,31.9612590799032,
NE,NEBRASKA,1992,2.18508997429306,53.8560411311054,60.4113110539846,15.1670951156812
NE,NEBRASKA,1993,2.73972602739726,53.3001245330013,63.5118306351183,18.0572851805729
NE,NEBRASKA,1994,2.22984562607204,52.3156089193825,65.8662092624357,18.696397941681
NE,NEBRASKA,1996,2.6984126984127,51.9047619047619,60.6349206349206,16.6666666666667
NE,NEBRASKA,1997,1.25984251968504,50.2362204724409,62.0472440944882,23.1496062992126
NE,NEBRASKA,1998,2.91411042944785,51.6871165644172,63.6503067484663,17.4846625766871
NE,NEBRASKA,1999,3.04878048780488,50.3048780487805,63.5670731707317,22.2560975609756
NE,NEBRASKA,2000,4.25867507886435,51.1041009463722,70.3470031545741,23.9747634069401
NE,NEBRASKA,2001,1.24223602484472,53.8819875776398,64.1304347826087,22.9813664596273
NE,NEBRASKA,2002,5.30697190426639,53.0697190426639,66.3891779396462,25.1821019771072
NE,NEBRASKA,2003,0.66079295154185,50.5506607929516,63.8766519823789,23.4581497797357
NE,NEBRASKA,2004,4.21511627906977,53.4883720930233,66.7151162790698,25.4360465116279
NE,NEBRASKA,2005,4.13016270337922,50.9386733416771,65.5819774718398,26.6583229036295
NE,NEBRASKA,2006,3,51.8571428571429,68.5714285714286,24.8571428571429
NE,NEBRASKA,2007,1.77725118483412,52.132701421801,69.7867298578199,27.3696682464455
NE,NEBRASKA,2008,2.37430167597765,50.2793296089386,64.3854748603352,25.2793296089386
NE,NEBRASKA,2009,2.35017626321974,50.2937720329025,65.9224441833138,27.9670975323149
NE,NEBRASKA,2010,2.86885245901639,48.9071038251366,67.4863387978142,29.5081967213115
NE,NEBRASKA,2011,4.44191343963553,48.8610478359909,64.9202733485194,27.6765375854214
NE,NEBRASKA,2012,3.61726954492415,51.5752625437573,68.144690781797,31.855309218203
NE,NEBRASKA,2013,2.125,51,67.5,31
NE,NEBRASKA,2014,3.37301587301587,48.2142857142857,71.6269841269841,35.515873015873
NE,NEBRASKA,2015,5.59105431309904,53.5143769968051,63.8977635782748,30.9904153354633
NE,NEBRASKA,2016,2.32558139534884,49.6124031007752,66.2790697674419,34.3023255813954
NE,NEBRASKA,2017,2.6,51.6,72.4,33
NE,NEBRASKA,2018,3.86029411764706,53.125,68.5661764705882,33.2720588235294
NE,NEBRASKA,2019,1.47874306839187,53.0499075785582,72.4584103512015,36.7837338262477
NE,NEBRASKA,2020,2.87769784172662,51.6187050359712,67.6258992805756,33.273381294964
NE,NEBRASKA,2021,4.08921933085502,48.1412639405205,68.9591078066915,40.3345724907063
NH,NEW HAMPSHIRE,1987,0.217864923747277,50.9803921568627,35.7298474945534,
NH,NEW HAMPSHIRE,1990,0.192307692307692,53.6538461538462,31.9230769230769,
NH,NEW HAMPSHIRE,1991,1.6,50.1333333333333,36.8,
NH,NEW HAMPSHIRE,1996,0.963855421686747,48.433734939759,64.578313253012,26.5060240963856
NH,NEW HAMPSHIRE,1997,1.61290322580645,50,63.9112903225807,27.8225806451613
NH,NEW HAMPSHIRE,1999,1.07913669064748,52.158273381295,60.6115107913669,26.7985611510791
NH,NEW HAMPSHIRE,2001,1.83908045977012,51.264367816092,66.4367816091954,29.4252873563218
NH,NEW HAMPSHIRE,2002,0.357142857142857,50.2380952380953,70.1190476190476,32.2619047619048
NH,NEW HAMPSHIRE,2003,1.11214087117702,50.9731232622799,65.6163113994439,34.6617238183503
NH,NEW HAMPSHIRE,2004,0.866336633663367,52.1039603960396,68.9356435643564,31.5594059405941
NH,NEW HAMPSHIRE,2005,0.355555555555556,51.7333333333333,68.0888888888889,32.9777777777778
NH,NEW HAMPSHIRE,2006,0.605536332179931,50.9515570934256,69.3771626297578,32.6989619377163
NH,NEW HAMPSHIRE,2007,0.610820244328098,50.9598603839442,69.1099476439791,30.0174520069808
NH,NEW HAMPSHIRE,2008,1.07794361525705,53.3167495854063,70.1492537313433,35.3233830845771
NH,NEW HAMPSHIRE,2009,1.17967332123412,49.8185117967332,70.6896551724138,35.5716878402904
NH,NEW HAMPSHIRE,2010,1.48342059336824,51.1343804537522,72.5130890052356,37.696335078534
NH,NEW HAMPSHIRE,2011,0.827300930713547,51.1892450879007,72.2854188210962,35.9875904860393
NH,NEW HAMPSHIRE,2012,0.632911392405063,52.5316455696203,72.6943942133816,38.6980108499096
NH,NEW HAMPSHIRE,2013,1.9019019019019,50.5505505505506,71.4714714714715,37.6376376376376
NH,NEW HAMPSHIRE,2014,0.200400801603206,50.3006012024048,74.4488977955912,36.87374749499
NH,NEW HAMPSHIRE,2015,1.34907251264755,54.3001686340641,73.5244519392917,36.0876897133221
NH,NEW HAMPSHIRE,2016,0.8,51.68,78.08,41.28
NH,NEW HAMPSHIRE,2017,0.363636363636364,50.9090909090909,76.9090909090909,35.0909090909091
NH,NEW HAMPSHIRE,2018,1.19250425894378,48.8926746166951,77.8534923339012,38.6712095400341
NH,NEW HAMPSHIRE,2019,1.49532710280374,50.6542056074766,77.7570093457944,45.2336448598131
NH,NEW HAMPSHIRE,2020,0.189035916824197,49.3383742911153,77.882797731569,41.9659735349716
NH,NEW HAMPSHIRE,2021,0.963391136801541,49.7109826589595,80.9248554913295,42.7745664739884
NJ,NEW JERSEY,1987,10.6959364782812,52.3120037365717,28.7248949089211,
NJ,NEW JERSEY,1988,6.22480967308554,53.6945812807882,30.8105687416032,
NJ,NEW JERSEY,1989,10.3936311366652,53.4719150818222,34.1884122069881,
NJ,NEW JERSEY,1990,11.0333470564018,52.4495677233429,31.4121037463977,
NJ,NEW JERSEY,1991,12.1409921671018,52.7850304612707,35.2915578764143,
NJ,NEW JERSEY,1992,10.0506756756757,51.9425675675676,62.9222972972973,24.2820945945946
NJ,NEW JERSEY,1993,10.6087735004476,52.775290957923,61.5935541629364,21.9785138764548
NJ,NEW JERSEY,1994,11.9470855725506,53.0797850351385,63.2492765605622,24.8863166597768
NJ,NEW JERSEY,1996,10.3623188405797,53.6231884057971,64.4927536231884,24.4927536231884
NJ,NEW JERSEY,1997,11.4809782608696,52.4456521739131,65.3532608695652,25.3396739130435
NJ,NEW JERSEY,1998,15.1577503429355,54.4581618655693,64.9519890260631,25.7887517146776
NJ,NEW JERSEY,1999,11.5865701119157,52.9953917050691,66.6886109282423,27.3206056616195
NJ,NEW JERSEY,2000,12.9787234042553,52.4113475177305,64.5390070921986,25.4609929078014
NJ,NEW JERSEY,2001,9.97322623828648,53.8152610441767,64.4578313253012,26.0374832663989
NJ,NEW JERSEY,2002,10.6169296987088,51.4347202295553,63.4863701578192,27.6901004304161
NJ,NEW JERSEY,2003,9.40525587828492,52.0055325034578,65.3526970954357,28.4232365145228
NJ,NEW JERSEY,2004,12.0772946859903,53.5541752933057,64.3892339544513,30.5728088336784
NJ,NEW JERSEY,2005,10.0512820512821,50.3589743589744,64.7179487179487,27.7948717948718
NJ,NEW JERSEY,2006,13.7318255250404,51.7770597738288,65.5896607431341,31.421647819063
NJ,NEW JERSEY,2007,8.52428964252979,52.7956003666361,66.5444546287809,31.9890009165903
NJ,NEW JERSEY,2008,8.70626525630594,53.7021969080553,65.9072416598861,31.4890154597234
NJ,NEW JERSEY,2009,8.70736086175942,52.9622980251347,65.8886894075404,29.2639138240575
NJ,NEW JERSEY,2010,13.0849220103986,50.8665511265165,70.4506065857886,32.6689774696707
NJ,NEW JERSEY,2011,7.86290322580645,54.8387096774194,71.4717741935484,31.8548387096774
NJ,NEW JERSEY,2012,9.6551724137931,52.512315270936,69.3596059113301,34.7783251231527
NJ,NEW JERSEY,2013,10.0497512437811,53.6318407960199,67.6616915422886,33.9303482587065
NJ,NEW JERSEY,2014,9.29250263991552,49.8416050686378,71.4889123548046,35.9028511087645
NJ,NEW JERSEY,2015,10.8647450110865,52.4390243902439,67.5166297117517,34.3680709534368
NJ,NEW JERSEY,2016,9.52380952380952,51.0025062656642,74.3107769423559,36.9674185463659
NJ,NEW JERSEY,2017,8.17535545023697,51.5402843601896,70.3791469194313,36.0189573459716
NJ,NEW JERSEY,2018,13.0257801899593,51.5603799185889,77.7476255088195,41.2483039348711
NJ,NEW JERSEY,2019,9.30817610062893,54.0880503144654,72.4528301886793,40.7547169811321
NJ,NEW JERSEY,2020,7.62052877138414,53.1881804043546,73.5614307931571,45.5676516329705
NJ,NEW JERSEY,2021,9.98415213946117,51.8225039619652,72.9001584786054,44.5324881141046
NM,NEW MEXICO,1987,1.25,50.8928571428571,26.0714285714286,
NM,NEW MEXICO,1988,1.43112701252236,53.6672629695886,30.4114490161002,
NM,NEW MEXICO,1989,0.436681222707424,50.0727802037846,30.2765647743814,
NM,NEW MEXICO,1990,1.72413793103448,52.6645768025078,32.1316614420063,
NM,NEW MEXICO,1991,1.80623973727422,51.559934318555,32.6765188834154,
NM,NEW MEXICO,1992,0.354609929078014,52.6595744680851,56.0283687943262,19.3262411347518
NM,NEW MEXICO,1993,2.74725274725275,50.3663003663004,52.7472527472528,17.7655677655678
NM,NEW MEXICO,1994,0.182815356489945,52.6508226691042,55.5758683729433,20.109689213894
NM,NEW MEXICO,1996,0.783699059561128,52.8213166144201,53.6050156739812,18.1818181818182
NM,NEW MEXICO,1997,3.63636363636364,54.3801652892562,56.6942148760331,18.1818181818182
NM,NEW MEXICO,1998,1.40105078809107,51.3134851138354,60.9457092819615,21.8914185639229
NM,NEW MEXICO,1999,1.63690476190476,50.4464285714286,61.3095238095238,22.4702380952381
NM,NEW MEXICO,2000,1.97132616487455,51.7921146953405,63.0824372759857,21.505376344086
