state,state_name,year,population_total
NM,NEW MEXICO,2018,2092741
NY,NEW YORK,2018,19530351
NC,NORTH CAROLINA,2018,10381615
ND,NORTH DAKOTA,2018,758080
OH,OHIO,2018,11676341
OK,OKLAHOMA,2018,3940235
OR,OREGON,2018,4181886
PA,PENNSYLVANIA,2018,12800922
RI,RHODE ISLAND,2018,1058287
SC,SOUTH CAROLINA,2018,5084156
SD,SOUTH DAKOTA,2018,878698
TN,TENNESSEE,2018,6771631
TX,TEXAS,2018,28628666
UT,UTAH,2018,3153550
VT,VERMONT,2018,624358
VA,VIRGINIA,2018,8501286
WA,WASHINGTON,2018,7523869
WV,WEST VIRGINIA,2018,1804291
WI,WISCONSIN,2018,5807406
WY,WYOMING,2018,577601
AL,ALABAMA,2019,4903185
AK,ALASKA,2019,731545
AZ,ARIZONA,2019,7278717
AR,ARKANSAS,2019,3017804
CA,CALIFORNIA,2019,39512223
CO,COLORADO,2019,5758736
CT,CONNECTICUT,2019,3565287
DE,DELAWARE,2019,973764
FL,FLORIDA,2019,21477737
GA,GEORGIA,2019,10617423
HI,HAWAII,2019,1415872
ID,IDAHO,2019,1787065
IL,ILLINOIS,2019,12671821
IN,INDIANA,2019,6732219
IA,IOWA,2019,3155070
KS,KANSAS,2019,2913314
KY,KENTUCKY,2019,4467673
LA,LOUISIANA,2019,4648794
ME,MAINE,2019,1344212
MD,MARYLAND,2019,6045680
MA,MASSACHUSETTS,2019,6892503
MI,MICHIGAN,2019,9986857
MN,MINNESOTA,2019,5639632
MS,MISSISSIPPI,2019,2976149
MO,MISSOURI,2019,6137428
MT,MONTANA,2019,1068778
NE,NEBRASKA,2019,1934408
NV,NEVADA,2019,3080156
NH,NEW HAMPSHIRE,2019,1359711
NJ,NEW JERSEY,2019,8882190
NM,NEW MEXICO,2019,2096829
NY,NEW YORK,2019,19453561
NC,NORTH CAROLINA,2019,10488084
ND,NORTH DAKOTA,2019,762062
OH,OHIO,2019,11689100
OK,OKLAHOMA,2019,3956971
OR,OREGON,2019,4217737
PA,PENNSYLVANIA,2019,12801989
RI,RHODE ISLAND,2019,1059361
SC,SOUTH CAROLINA,2019,5148714
SD,SOUTH DAKOTA,2019,884659
TN,TENNESSEE,2019,6829174
TX,TEXAS,2019,28995881
UT,UTAH,2019,3205958
VT,VERMONT,2019,623989
VA,VIRGINIA,2019,8535519
WA,WASHINGTON,2019,7614893
WV,WEST VIRGINIA,2019,1792147
WI,WISCONSIN,2019,5822434
WY,WYOMING,2019,578759
