state,state_name,init,initiatives,year,initiaitves,mean,sd,std_init_use
AL,ALABAMA,1,0,1990,0,0.460817397825272,1.58867137916095,-0.290064643871566
AL,ALABAMA,1,0,1991,0,0.460817397825272,1.58867137916095,-0.290064643871566
AL,ALABAMA,1,0,1992,0,0.460817397825272,1.58867137916095,-0.290064643871566
AL,ALABAMA,1,0,1993,0,0.460817397825272,1.58867137916095,-0.290064643871566
AL,ALABAMA,1,0,1994,0,0.460817397825272,1.58867137916095,-0.290064643871566
AL,ALABAMA,1,0,1995,0,0.460817397825272,1.58867137916095,-0.290064643871566
AL,ALABAMA,1,0,1996,0,0.460817397825272,1.58867137916095,-0.290064643871566
AL,ALABAMA,1,0,1997,0,0.460817397825272,1.58867137916095,-0.290064643871566
AL,ALABAMA,1,0,1998,0,0.460817397825272,1.58867137916095,-0.290064643871566
AL,ALABAMA,1,0,1999,0,0.460817397825272,1.58867137916095,-0.290064643871566
AL,ALABAMA,1,0,2000,0,0.460817397825272,1.58867137916095,-0.290064643871566
AL,ALABAMA,1,0,2001,0,0.460817397825272,1.58867137916095,-0.290064643871566
AL,ALABAMA,1,0,2002,0,0.460817397825272,1.58867137916095,-0.290064643871566
AL,ALABAMA,1,0,2003,0,0.460817397825272,1.58867137916095,-0.290064643871566
AL,ALABAMA,1,0,2004,0,0.460817397825272,1.58867137916095,-0.290064643871566
AL,ALABAMA,1,0,2005,0,0.460817397825272,1.58867137916095,-0.290064643871566
AL,ALABAMA,1,0,2006,0,0.460817397825272,1.58867137916095,-0.290064643871566
AL,ALABAMA,1,0,2007,0,0.460817397825272,1.58867137916095,-0.290064643871566
AL,ALABAMA,1,0,2008,0,0.460817397825272,1.58867137916095,-0.290064643871566
AL,ALABAMA,1,0,2009,0,0.460817397825272,1.58867137916095,-0.290064643871566
AK,ALASKA,2,3,1990,3,0.460817397825272,1.58867137916095,1.59830575125976
AK,ALASKA,2,0,1991,0,0.460817397825272,1.58867137916095,-0.290064643871566
AK,ALASKA,2,0,1992,0,0.460817397825272,1.58867137916095,-0.290064643871566
AK,ALASKA,2,0,1993,0,0.460817397825272,1.58867137916095,-0.290064643871566
AK,ALASKA,2,3,1994,3,0.460817397825272,1.58867137916095,1.59830575125976
AK,ALASKA,2,0,1995,0,0.460817397825272,1.58867137916095,-0.290064643871566
AK,ALASKA,2,3,1996,3,0.460817397825272,1.58867137916095,1.59830575125976
AK,ALASKA,2,0,1997,0,0.460817397825272,1.58867137916095,-0.290064643871566
AK,ALASKA,2,5,1998,5,0.460817397825272,1.58867137916095,2.85721934801398
AK,ALASKA,2,0,1999,0,0.460817397825272,1.58867137916095,-0.290064643871566
AK,ALASKA,2,2,2000,2,0.460817397825272,1.58867137916095,0.968848952882653
AK,ALASKA,2,0,2001,0,0.460817397825272,1.58867137916095,-0.290064643871566
AK,ALASKA,2,0,2002,0,0.460817397825272,1.58867137916095,-0.290064643871566
AK,ALASKA,2,0,2003,0,0.460817397825272,1.58867137916095,-0.290064643871566
AK,ALASKA,2,0,2004,0,0.460817397825272,1.58867137916095,-0.290064643871566
AK,ALASKA,2,0,2005,0,0.460817397825272,1.58867137916095,-0.290064643871566
AK,ALASKA,2,0,2006,0,0.460817397825272,1.58867137916095,-0.290064643871566
AK,ALASKA,2,0,2007,0,0.460817397825272,1.58867137916095,-0.290064643871566
AK,ALASKA,2,0,2008,0,0.460817397825272,1.58867137916095,-0.290064643871566
AK,ALASKA,2,0,2009,0,0.460817397825272,1.58867137916095,-0.290064643871566
AZ,ARIZONA,2,7,1990,7,0.460817397825272,1.58867137916095,4.1161329447682
AZ,ARIZONA,2,0,1991,0,0.460817397825272,1.58867137916095,-0.290064643871566
AZ,ARIZONA,2,4,1992,4,0.460817397825272,1.58867137916095,2.22776254963687
AZ,ARIZONA,2,0,1993,0,0.460817397825272,1.58867137916095,-0.290064643871566
AZ,ARIZONA,2,3,1994,3,0.460817397825272,1.58867137916095,1.59830575125976
AZ,ARIZONA,2,0,1995,0,0.460817397825272,1.58867137916095,-0.290064643871566
AZ,ARIZONA,2,4,1996,4,0.460817397825272,1.58867137916095,2.22776254963687
AZ,ARIZONA,2,0,1997,0,0.460817397825272,1.58867137916095,-0.290064643871566
AZ,ARIZONA,2,4,1998,4,0.460817397825272,1.58867137916095,2.22776254963687
AZ,ARIZONA,2,0,1999,0,0.460817397825272,1.58867137916095,-0.290064643871566
AZ,ARIZONA,2,6,2000,6,0.460817397825272,1.58867137916095,3.48667614639109
AZ,ARIZONA,2,0,2001,0,0.460817397825272,1.58867137916095,-0.290064643871566
AZ,ARIZONA,2,0,2002,0,0.460817397825272,1.58867137916095,-0.290064643871566
AZ,ARIZONA,2,0,2003,0,0.460817397825272,1.58867137916095,-0.290064643871566
AZ,ARIZONA,2,0,2004,0,0.460817397825272,1.58867137916095,-0.290064643871566
AZ,ARIZONA,2,0,2005,0,0.460817397825272,1.58867137916095,-0.290064643871566
AZ,ARIZONA,2,0,2006,0,0.460817397825272,1.58867137916095,-0.290064643871566
AZ,ARIZONA,2,0,2007,0,0.460817397825272,1.58867137916095,-0.290064643871566
AZ,ARIZONA,2,0,2008,0,0.460817397825272,1.58867137916095,-0.290064643871566
AZ,ARIZONA,2,0,2009,0,0.460817397825272,1.58867137916095,-0.290064643871566
AR,ARKANSAS,2,2,1990,2,0.460817397825272,1.58867137916095,0.968848952882653
AR,ARKANSAS,2,0,1991,0,0.460817397825272,1.58867137916095,-0.290064643871566
AR,ARKANSAS,2,1,1992,1,0.460817397825272,1.58867137916095,0.339392154505543
