state,state_no,state_name,state_fips,state_icpsr,year,female_pop,male_pop,black_pop,pct_hispanic,pct_white,population_total,white_pop,hispanic_pop,pct_female,pct_male,pct_black
LA,18,LOUISIANA,22,45,1992,,,1345921,,,4287000,,,,,
LA,18,LOUISIANA,22,45,1993,,,1366339,,,4295000,,,,,
LA,18,LOUISIANA,22,45,1994,2200000,2100000,1386633,,,4315000,,,0.509849362688297,0.486674391657011,
LA,18,LOUISIANA,22,45,1995,2300000,2100000,1405899,,,4342000,,,0.529709811146937,0.483648088438508,
LA,18,LOUISIANA,22,45,1996,2300000,2100000,1421523,,,4351000,,,0.52861411169846,0.482647667202942,
LA,18,LOUISIANA,22,45,1997,2300000,2100000,1435689,,,4352000,,,0.528492647058824,0.482536764705882,
LA,18,LOUISIANA,22,45,1998,2300000,2100000,1448356,,,4369000,,,0.526436255436027,0.480659189745937,
LA,18,LOUISIANA,22,45,1999,2300000,2100000,1461433,,,4372035,,,0.526070811418481,0.480325523469048,
LA,18,LOUISIANA,22,45,2000,2300000,2200000,1469861,,,4468976,,,0.514659286601673,0.492282795879862,
LA,18,LOUISIANA,22,45,2001,,,1469504,,,4470368,,,,,
LA,18,LOUISIANA,22,45,2002,2300000,2200000,1473510,,,4476192,,,0.513829612313324,0.491489194386657,
LA,18,LOUISIANA,22,45,2003,2300000,2200000,1478425,,,4493665,,,0.511831656342874,0.489578106067097,
LA,18,LOUISIANA,22,45,2004,2300000,2200000,1485449,,,4506685,,,0.510352953445826,0.488163694600355,
LA,18,LOUISIANA,22,45,2005,2300000,2200000,1490641,,,4507331,,,0.510279808605137,0.488093729970131,
LA,18,LOUISIANA,22,45,2006,2200000,2100000,1343840,,,4287768,,,0.513087461821629,0.4897653044661,
LA,18,LOUISIANA,22,45,2007,2200000,2100000,1404343,,,4293204,,,0.512437797039228,0.489145169901081,
LA,18,LOUISIANA,22,45,2008,2300000,2100000,1441861,,,4410796,,,0.521447829371388,0.476104539860832,
LA,18,LOUISIANA,22,45,2009,2300000,2200000,1460134,,,4492076,,,0.512012708600656,0.489751286487584,
LA,18,LOUISIANA,22,45,2010,2300000,2200000,,,,4545343,,,0.506012417544727,0.484011877651478,
LA,18,LOUISIANA,22,45,2011,,,,,,4574766,,,,,
LA,18,LOUISIANA,22,45,2012,,,,,,4601893,,,,,
LA,18,LOUISIANA,22,45,2013,,,,0.00047,0.00595,4601893,27381.26335,2162.88971,,,
LA,18,LOUISIANA,22,45,2014,,,,0.00048,0.00592,4601893,27243.20656,2208.90864,,,
LA,18,LOUISIANA,22,45,2015,,,,0.00049,0.0059,,,,,,
LA,18,LOUISIANA,22,45,2016,,,,0.00049,0.00588,,,,,,
LA,18,LOUISIANA,22,45,2017,,,,0.00052,0.00585,,,,,,
LA,18,LOUISIANA,22,45,2018,,,,,,,,,,,
LA,18,LOUISIANA,22,45,2019,,,,,,,,,,,
LA,18,LOUISIANA,22,45,2020,,,,,,,,,,,
MA,21,MASSACHUSETTS,25,3,1987,,,303520,,,5855000,,,,,
MA,21,MASSACHUSETTS,25,3,1988,,,313025,,,5871000,,,,,
MA,21,MASSACHUSETTS,25,3,1989,,,322508,,,5913000,,,,,
MA,21,MASSACHUSETTS,25,3,1990,,,328341,,,6016425,,,,,
MA,21,MASSACHUSETTS,25,3,1991,,,337565,,,5996000,,,,,
MA,21,MASSACHUSETTS,25,3,1992,,,347268,,,5998000,,,,,
