state_fips,state_name,state_num,state,state_icpsr,unified,party_control,year
47,Tennessee,42,TN,54,1,REP,2016
48,Texas,43,TX,49,1,REP,2016
49,Utah,44,UT,67,1,REP,2016
50,Vermont,45,VT,6,1,DEM,2016
51,Virginia,46,VA,40,0,DIV,2016
53,Washington,47,WA,73,0,DIV,2016
54,West Virginia,48,WV,56,0,DIV,2016
55,Wisconsin,49,WI,25,1,REP,2016
56,Wyoming,50,WY,68,1,REP,2016
1,Alabama,1,AL,41,1,REP,2017
2,Alaska,2,AK,81,0,DIV,2017
4,Arizona,3,AZ,61,1,REP,2017
5,Arkansas,4,AR,42,1,REP,2017
6,California,5,CA,71,1,DEM,2017
8,Colorado,6,CO,62,0,DIV,2017
9,Connecticut,7,CT,1,0,DIV,2017
10,Delaware,8,DE,11,1,DEM,2017
12,Florida,9,FL,43,1,REP,2017
13,Georgia,10,GA,44,1,REP,2017
15,Hawaii,11,HI,82,1,DEM,2017
16,Idaho,12,ID,63,1,REP,2017
17,Illinois,13,IL,21,0,DIV,2017
18,Indiana,14,IN,22,1,REP,2017
19,Iowa,15,IA,31,1,REP,2017
20,Kansas,16,KS,32,1,REP,2017
21,Kentucky,17,KY,51,1,REP,2017
22,Louisiana,18,LA,45,0,DIV,2017
23,Maine,19,ME,2,0,DIV,2017
24,Maryland,20,MD,52,0,DIV,2017
25,Massachusetts,21,MA,3,0,DIV,2017
26,Michigan,22,MI,23,1,REP,2017
27,Minnesota,23,MN,33,0,DIV,2017
28,Mississippi,24,MS,46,1,REP,2017
29,Missouri,25,MO,34,1,REP,2017
30,Montana,26,MT,64,0,DIV,2017
31,Nebraska,27,NE,35,NA,NA,2017
32,Nevada,28,NV,65,0,DIV,2017
33,New Hampshire,29,NH,4,1,REP,2017
34,New Jersey,30,NJ,12,0,DIV,2017
35,New Mexico,31,NM,66,0,DIV,2017
36,New York,32,NY,13,1,DEM,2017
37,North Carolina,33,NC,47,0,DIV,2017
38,North Dakota,34,ND,36,1,REP,2017
39,Ohio,35,OH,24,1,REP,2017
40,Oklahoma,36,OK,53,1,REP,2017
41,Oregon,37,OR,72,1,DEM,2017
42,Pennsylvania,38,PA,14,0,DIV,2017
44,Rhode Island,39,RI,5,1,DEM,2017
45,South Carolina,40,SC,48,1,REP,2017
46,South Dakota,41,SD,37,1,REP,2017
47,Tennessee,42,TN,54,1,REP,2017
48,Texas,43,TX,49,1,REP,2017
49,Utah,44,UT,67,1,REP,2017
50,Vermont,45,VT,6,0,DIV,2017
51,Virginia,46,VA,40,0,DIV,2017
53,Washington,47,WA,73,1,DEM,2017
54,West Virginia,48,WV,56,0,DIV,2017
55,Wisconsin,49,WI,25,1,REP,2017
56,Wyoming,50,WY,68,1,REP,2017
1,Alabama,1,AL,41,1,REP,2018
2,Alaska,2,AK,81,0,DIV,2018
4,Arizona,3,AZ,61,1,REP,2018
5,Arkansas,4,AR,42,1,REP,2018
6,California,5,CA,71,1,DEM,2018
8,Colorado,6,CO,62,0,DIV,2018
9,Connecticut,7,CT,1,0,DIV,2018
10,Delaware,8,DE,11,1,DEM,2018
12,Florida,9,FL,43,1,REP,2018
13,Georgia,10,GA,44,1,REP,2018
15,Hawaii,11,HI,82,1,DEM,2018
16,Idaho,12,ID,63,1,REP,2018
17,Illinois,13,IL,21,0,DIV,2018
18,Indiana,14,IN,22,1,REP,2018
19,Iowa,15,IA,31,1,REP,2018
20,Kansas,16,KS,32,1,REP,2018
21,Kentucky,17,KY,51,1,REP,2018
22,Louisiana,18,LA,45,0,DIV,2018
23,Maine,19,ME,2,0,DIV,2018
24,Maryland,20,MD,52,0,DIV,2018
25,Massachusetts,21,MA,3,0,DIV,2018
26,Michigan,22,MI,23,1,REP,2018
27,Minnesota,23,MN,33,0,DIV,2018
28,Mississippi,24,MS,46,1,REP,2018
29,Missouri,25,MO,34,1,REP,2018
30,Montana,26,MT,64,0,DIV,2018
31,Nebraska,27,NE,35,NA,NA,2018
32,Nevada,28,NV,65,0,DIV,2018
33,New Hampshire,29,NH,4,1,REP,2018
34,New Jersey,30,NJ,12,1,DEM,2018
35,New Mexico,31,NM,66,0,DIV,2018
36,New York,32,NY,13,0,DIV,2018
37,North Carolina,33,NC,47,0,DIV,2018
38,North Dakota,34,ND,36,1,REP,2018
39,Ohio,35,OH,24,1,REP,2018
40,Oklahoma,36,OK,53,1,REP,2018
41,Oregon,37,OR,72,1,DEM,2018
42,Pennsylvania,38,PA,14,0,DIV,2018
44,Rhode Island,39,RI,5,1,DEM,2018
45,South Carolina,40,SC,48,1,REP,2018
46,South Dakota,41,SD,37,1,REP,2018
47,Tennessee,42,TN,54,1,REP,2018
48,Texas,43,TX,49,1,REP,2018
49,Utah,44,UT,67,1,REP,2018
50,Vermont,45,VT,6,0,DIV,2018
51,Virginia,46,VA,40,0,DIV,2018
53,Washington,47,WA,73,1,DEM,2018
54,West Virginia,48,WV,56,1,REP,2018
55,Wisconsin,49,WI,25,1,REP,2018
56,Wyoming,50,WY,68,1,REP,2018
1,Alabama,1,AL,41,1,REP,2019
2,Alaska,2,AK,81,1,REP,2019
