state,statename,year,policy,category,direction,adoption_year,population_total,pollib_median,incomepcap,std_bowen1,std_bowen2,unified,std_init_use,evangelical_pop
VT,Vermont,1987,0,Anti-bullying,P,2001,548000,1.01821,14755,-0.491382658481598,-0.978492379188538,1,-0.453598409891129,2.5
VT,Vermont,1987,0,Anti-bullying,P,2007,548000,1.01821,14755,-0.491382658481598,-0.978492379188538,1,-0.453598409891129,2.5
VA,Virginia,1987,0,Anti-bullying,M,2022,5904000,-0.634912,17191,-0.0960692837834358,0.71082067489624,1,-0.453598409891129,25.299999
WA,Washington,1987,0,Anti-bullying,P,2002,4538000,0.767361,16090,0.1606425344944,0.411633938550949,1,0.432743310928345,13
WV,West Virginia,1987,0,Anti-bullying,"",2022,1897000,0.304671,11619,-0.633061289787293,0.0269493069499731,0,-0.453598409891129,13.1
WI,Wisconsin,1987,0,Anti-bullying,"",2022,4807000,0.909721,15182,0.528213620185852,0.00937060732394457,0,-0.453598409891129,15
WY,Wyoming,1987,0,Anti-bullying,"",2022,490000,-0.507292,14287,-1.05063927173615,0.29707083106041,0,-0.453598409891129,22.6
AL,Alabama,1988,0,Anti-bullying,"",2022,4127000,-1.96806,13639,-0.749778807163239,-0.177939400076866,0,-0.453598409891129,56.700001
AK,Alaska,1988,0,Anti-bullying,"",2022,513000,0.420246,19848,1.28803467750549,1.05755853652954,0,0.432743310928345,16.799999
AZ,Arizona,1988,0,Anti-bullying,"",2022,3466000,-0.6829,15583,0.254928380250931,-1.0755717754364,0,-0.0104275494813919,15.5
AR,Arkansas,1988,0,Anti-bullying,P,2011,2422000,-1.69688,12855,-0.72558856010437,0.403701514005661,1,0.87591415643692,46.400002
CA,California,1988,0,Anti-bullying,P,2012,28168000,1.45821,19515,3.95960259437561,3.32485604286194,0,7.52347707748413,10.9
CO,Colorado,1988,0,Anti-bullying,P,2011,3290000,-0.194806,17072,0.435891658067703,-1.67255759239197,0,1.3190850019455,13.6
CT,Connecticut,1988,0,Anti-bullying,P,2011,3241000,0.857683,23557,0.129232078790665,-0.363054126501083,1,-0.453598409891129,5.4000001
DE,Delaware,1988,0,Anti-bullying,"",2022,660000,0.484109,18819,0.266479164361954,-1.09761440753937,0,-0.453598409891129,11.5
FL,Florida,1988,0,Anti-bullying,"",2022,12377000,-1.16397,17291,0.237499743700027,1.19027876853943,0,0.432743310928345,19.6
GA,Georgia,1988,0,Anti-bullying,"",2022,6401000,-1.55225,15721,-0.634853720664978,0.250078469514847,1,-0.453598409891129,41.5
HI,Hawaii,1988,0,Anti-bullying,"",2022,1093000,1.41145,18496,0.0159736145287752,0.268329441547394,1,-0.453598409891129,9.8000002
ID,Idaho,1988,0,Anti-bullying,"",2022,999000,-0.473869,13437,-0.73037326335907,-0.61827963590622,0,-0.453598409891129,35.799999
IL,Illinois,1988,0,Anti-bullying,P,2010,11544000,0.388339,18551,0.664311647415161,0.702587008476257,0,-0.453598409891129,14
IN,Indiana,1988,0,Anti-bullying,"",2022,5575000,-0.169372,15424,-0.457805037498474,0.319543898105621,1,-0.453598409891129,19.4
IA,Iowa,1988,0,Anti-bullying,P,2007,2834000,0.365941,15206,-0.150224730372429,-0.56812995672226,0,-0.453598409891129,11.9
KS,Kansas,1988,0,Anti-bullying,"",2022,2487000,-0.312841,16207,-0.571119487285614,-0.544504404067993,1,-0.453598409891129,18.1
KY,Kentucky,1988,0,Anti-bullying,"",2022,3721000,-0.444857,13553,-0.79334568977356,0.525963246822357,1,-0.453598409891129,39.799999
LA,Louisiana,1988,0,Anti-bullying,"",2022,4420000,-0.78601,13029,0.113260790705681,-0.212109550833702,1,-0.453598409891129,31.700001
ME,Maine,1988,0,Anti-bullying,P,2012,1206000,0.796275,15593,-0.370297789573669,-0.855887770652771,0,-0.0104275494813919,3.3
MD,Maryland,1988,0,Anti-bullying,P,2008,4644000,0.817777,20468,-0.078653521835804,0.150224596261978,1,-0.453598409891129,13.4
MA,Massachusetts,1988,0,Anti-bullying,P,2014,5871000,1.58432,21127,1.91537737846375,-3.19859552383423,1,0.87591415643692,3.3
MI,Michigan,1988,0,Anti-bullying,"",2022,9300000,0.909816,16894,2.84189176559448,-2.94271445274353,0,-0.453598409891129,14.5
MN,Minnesota,1988,0,Anti-bullying,P,2014,4306000,0.744025,17351,0.0833625793457031,0.45294377207756,1,-0.453598409891129,12.1
MS,Mississippi,1988,0,Anti-bullying,"",2022,2627000,-1.90243,11566,-0.305896699428558,-0.775747954845429,1,-0.453598409891129,55.200001
MO,Missouri,1988,0,Anti-bullying,N,2006,5139000,-0.11959,15926,0.2272889316082,-0.876311182975769,0,0.432743310928345,29.5
MT,Montana,1988,0,Anti-bullying,"",2022,804000,0.316497,13241,-0.892394483089447,0.0694074034690857,0,0.432743310928345,14.1
NE,Nebraska,1988,0,Anti-bullying,"",2022,1601000,-0.034855,15915,-0.231738358736038,-0.237178519368172,0,0.432743310928345,16.9
NV,Nevada,1988,0,Anti-bullying,P,2015,1060000,-0.641189,18052,-0.59388542175293,0.0513274446129799,0,-0.0104275494813919,14.4
NH,New Hampshire,1988,0,Anti-bullying,N,2010,1097000,0.114574,19361,-1.188267827034,0.395206928253174,1,-0.453598409891129,2.5999999
NJ,New Jersey,1988,0,Anti-bullying,P,2002,7720000,1.58128,21763,0.474147111177445,1.55744922161102,0,-0.453598409891129,5.8000002
NM,New Mexico,1988,0,Anti-bullying,P,2019,1510000,0.00256,13227,-0.973433375358582,0.425584495067596,0,-0.453598409891129,20.700001
NY,New York,1988,0,Anti-bullying,P,2010,17898000,1.80625,20720,1.87544095516205,1.5291748046875,0,-0.453598409891129,6.5
NC,North Carolina,1988,0,Anti-bullying,P,2009,6526000,-1.06266,15341,-0.272727131843567,-0.615829586982727,0,-0.453598409891129,40
ND,North Dakota,1988,0,Anti-bullying,"",2022,663000,-0.978667,12653,-0.975458741188049,0.184626907110214,0,0.432743310928345,12.2
OH,Ohio,1988,0,Anti-bullying,"",2022,10872000,0.338944,16549,0.647814571857452,-0.576786637306213,0,-0.0104275494813919,13.8
OK,Oklahoma,1988,0,Anti-bullying,"",2022,3263000,-0.321607,14166,0.191646799445152,-0.851761043071747,0,-0.453598409891129,47.200001
OR,Oregon,1988,0,Anti-bullying,P,2007,2741000,0.933652,15776,-0.47409263253212,0.235351711511612,1,1.76225590705872,14.9
PA,Pennsylvania,1988,0,Anti-bullying,"",2022,12027000,0.645654,17067,1.37883961200714,0.100412935018539,0,-0.453598409891129,7.5
RI,Rhode Island,1988,0,Anti-bullying,P,2011,995000,1.45765,17909,-0.682037055492401,-0.543547034263611,0,-0.453598409891129,2.5999999
SC,South Carolina,1988,0,Anti-bullying,"",2022,3493000,-1.33468,13906,-0.0610888600349426,-0.781315922737122,0,-0.453598409891129,44.400002
SD,South Dakota,1988,0,Anti-bullying,N,2012,715000,-0.648779,13631,-0.977488160133362,0.14214563369751,1,1.76225590705872,15.7
TN,Tennessee,1988,0,Anti-bullying,"",2022,4919000,-0.633409,14783,-0.49800518155098,0.311527281999588,1,-0.453598409891129,46.599998
TX,Texas,1988,0,Anti-bullying,"",2022,16780000,-0.641832,15245,-0.11537067592144,0.594011008739471,0,-0.453598409891129,32.599998
UT,Utah,1988,0,Anti-bullying,"",2022,1691000,-0.754042,13162,-0.97576779127121,0.414593815803528,1,0.87591415643692,74
VT,Vermont,1988,0,Anti-bullying,P,2001,556000,0.972373,15822,-0.491382658481598,-0.978492379188538,1,-0.453598409891129,2.5
VT,Vermont,1988,0,Anti-bullying,P,2007,556000,0.972373,15822,-0.491382658481598,-0.978492379188538,1,-0.453598409891129,2.5
VA,Virginia,1988,0,Anti-bullying,M,2022,5996000,-0.668243,18442,-0.0960692837834358,0.71082067489624,1,-0.453598409891129,25.299999
WA,Washington,1988,0,Anti-bullying,P,2002,4619000,0.675896,17055,0.1606425344944,0.411633938550949,1,0.87591415643692,13
WV,West Virginia,1988,0,Anti-bullying,"",2022,1884000,0.190865,12532,-0.633061289787293,0.0269493069499731,0,-0.453598409891129,13.1
WI,Wisconsin,1988,0,Anti-bullying,"",2022,4858000,0.88509,15953,0.528213620185852,0.00937060732394457,0,-0.453598409891129,15
WY,Wyoming,1988,0,Anti-bullying,"",2022,471000,-0.469036,14821,-1.05063927173615,0.29707083106041,0,-0.453598409891129,22.6
AL,Alabama,1989,0,Anti-bullying,"",2022,4118000,-1.98915,14776,-0.808178186416626,-0.0376984290778637,0,-0.453598409891129,56.700001
AK,Alaska,1989,0,Anti-bullying,"",2022,527000,0.510934,21525,0.693395018577576,0.480662852525711,0,0.432743310928345,16.799999
AZ,Arizona,1989,0,Anti-bullying,"",2022,3556000,-0.690265,16281,0.302332431077957,-1.30607151985168,0,-0.0104275494813919,15.5
AR,Arkansas,1989,0,Anti-bullying,P,2011,2406000,-1.7697,13727,-0.72558856010437,0.403701514005661,1,0.87591415643692,46.400002
CA,California,1989,0,Anti-bullying,P,2012,29063000,1.61843,20448,3.93285274505615,4.07723426818848,0,7.52347707748413,10.9
CO,Colorado,1989,0,Anti-bullying,P,2011,3317000,-0.239238,18398,0.0382656119763851,-0.684637486934662,0,1.3190850019455,13.6
CT,Connecticut,1989,0,Anti-bullying,P,2011,3239000,0.99972,25397,0.0922517478466034,-0.602335453033447,1,-0.453598409891129,5.4000001
DE,Delaware,1989,0,Anti-bullying,"",2022,673000,0.428106,20559,-0.242534160614014,0.329452395439148,0,-0.453598409891129,11.5
FL,Florida,1989,0,Anti-bullying,"",2022,12671000,-1.10905,18734,0.336888462305069,1.76056778430939,0,0.432743310928345,19.6
GA,Georgia,1989,0,Anti-bullying,"",2022,6436000,-1.45174,16658,-0.672155916690826,0.32836377620697,1,-0.453598409891129,41.5
HI,Hawaii,1989,0,Anti-bullying,"",2022,1112000,1.59516,20285,0.0774659290909767,0.520504951477051,1,-0.453598409891129,9.8000002
ID,Idaho,1989,0,Anti-bullying,"",2022,1014000,-0.483696,14632,-0.726515412330627,-0.606701374053955,0,-0.453598409891129,35.799999
IL,Illinois,1989,0,Anti-bullying,P,2010,11658000,0.359223,19672,0.687875866889954,0.412000596523285,0,-0.453598409891129,14
IN,Indiana,1989,0,Anti-bullying,"",2022,5593000,-0.13452,16668,-0.398583263158798,0.273144543170929,0,-0.453598409891129,19.4
IA,Iowa,1989,0,Anti-bullying,P,2007,2840000,0.486328,16484,-0.173581093549728,-0.41385942697525,0,-0.453598409891129,11.9
KS,Kansas,1989,0,Anti-bullying,"",2022,2513000,-0.370994,17008,-0.558415234088898,-0.548539340496063,1,-0.453598409891129,18.1
KY,Kentucky,1989,0,Anti-bullying,"",2022,3727000,-0.486412,14530,-0.7462557554245,0.434082478284836,1,-0.453598409891129,39.799999
LA,Louisiana,1989,0,Anti-bullying,"",2022,4382000,-0.801635,13963,-0.147917747497559,-0.102811187505722,1,-0.453598409891129,31.700001
ME,Maine,1989,0,Anti-bullying,P,2012,1222000,0.695239,16683,-0.466270834207535,-0.491288542747498,0,0.432743310928345,3.3
MD,Maryland,1989,0,Anti-bullying,P,2008,4694000,0.779334,21733,0.0305464100092649,-0.0187342781573534,1,-0.453598409891129,13.4
MA,Massachusetts,1989,0,Anti-bullying,P,2014,5913000,1.65669,22095,2.27185344696045,-4.25225830078125,1,0.87591415643692,3.3
MI,Michigan,1989,0,Anti-bullying,"",2022,9273000,0.927284,18072,2.96801710128784,-2.69883728027344,0,-0.453598409891129,14.5
MN,Minnesota,1989,0,Anti-bullying,P,2014,4353000,0.851119,18744,0.235693573951721,0.152786508202553,1,-0.453598409891129,12.1
MS,Mississippi,1989,0,Anti-bullying,"",2022,2621000,-1.96961,12499,-0.301941990852356,-0.899811387062073,1,-0.453598409891129,55.200001
MO,Missouri,1989,0,Anti-bullying,N,2006,5159000,-0.205691,16928,0.195154994726181,-0.868238210678101,0,0.432743310928345,29.5
MT,Montana,1989,0,Anti-bullying,"",2022,806000,0.367181,14569,-0.80616819858551,-0.192288115620613,0,0.432743310928345,14.1
NE,Nebraska,1989,0,Anti-bullying,"",2022,1611000,-0.097346,16790,-0.153750985860825,-0.227309957146645,0,0.432743310928345,16.9
NV,Nevada,1989,0,Anti-bullying,P,2015,1111000,-0.575348,19165,-0.306575477123261,0.333371341228485,0,-0.0104275494813919,14.4
NH,New Hampshire,1989,0,Anti-bullying,N,2010,1107000,0.085867,20235,-1.18559777736664,0.355500489473343,1,-0.453598409891129,2.5999999
NJ,New Jersey,1989,0,Anti-bullying,P,2002,7736000,1.47396,23235,0.704956412315369,1.2976416349411,0,-0.453598409891129,5.8000002
NM,New Mexico,1989,0,Anti-bullying,P,2019,1528000,0.017496,14009,-0.959345042705536,0.442308038473129,0,-0.453598409891129,20.700001
NY,New York,1989,0,Anti-bullying,P,2010,17950000,1.6173,22202,2.79230117797852,0.777271747589111,0,-0.453598409891129,6.5
NC,North Carolina,1989,0,Anti-bullying,P,2009,6571000,-1.10778,16454,-0.177506670355797,-0.831568896770477,0,-0.453598409891129,40
ND,North Dakota,1989,0,Anti-bullying,"",2022,660000,-0.954198,14371,-0.97058767080307,0.159050866961479,0,0.432743310928345,12.2
OH,Ohio,1989,0,Anti-bullying,"",2022,10907000,0.257729,17672,1.01045191287994,-0.997891843318939,0,-0.453598409891129,13.8
OK,Oklahoma,1989,0,Anti-bullying,"",2022,3224000,-0.366908,15192,0.401135236024857,-0.879104912281036,0,-0.0104275494813919,47.200001
OR,Oregon,1989,0,Anti-bullying,P,2007,2820000,0.94533,16956,-0.010784768499434,0.331327646970749,1,1.76225590705872,14.9
PA,Pennsylvania,1989,0,Anti-bullying,"",2022,12040000,0.678365,18412,1.33158528804779,1.40435993671417,0,-0.453598409891129,7.5
