Policy,State,Date ,Year,Month,Day,Category,Direction,Description,
0,Missouri,,,,,Curriculum ,,,
1,Montana,,2021,,,Curriculum ,N,,
0,Nebraska,,,,,Curriculum ,,,
1,Nevada,,2021,,,Curriculum ,P,,
0,New Hampshire,,,,,Curriculum ,,,
1,New Jersey,,2019,,,Curriculum ,P,,
0,New Mexico,,,,,Curriculum ,,,
0,New York,,,,,Curriculum ,,,
1,North Carolina,,1995,,,Curriculum ,N,,
0,North Carolina,,2006,,,Curriculum ,P,repeal,
0,North Dakota,,,,,Curriculum ,,,
0,Ohio,,,,,Curriculum ,,,
1,Oklahoma ,,1987,,,Curriculum ,N,,
1,Oregon,,2019,,,Curriculum ,P,,
0,Pennsylvania,,,,,Curriculum ,,,
0,Rhode Island,,,,,Curriculum ,,,
1,South Carolina,,1988,,,Curriculum ,N,,
0,South Carolina,,2020,,,Curriculum ,P,repeal,
0,South Dakota,,,,,Curriculum ,,,
1,Tennessee,,2021,,,Curriculum ,N,,
1,Texas,,1991,,,Curriculum ,N,,
1,Utah,,2001,,,Curriculum ,N,,
0,Utah,,2017,,,Curriculum ,P,repeal,
0,Vermont,,,,,Curriculum ,,,
0,Virginia,,,,,Curriculum ,,,
0,Washington,,,,,Curriculum ,,,
0,West Virginia,,,,,Curriculum ,,,
0,Wisconsin,,,,,Curriculum ,,,
0,Wyoming,,,,,Curriculum ,,,
1,Alabama,,2021,,,Sports,N,,
0,Alaska,,,,,Sports,,,
1,Arizona,,2022,,,Sports,N,,
1,Arkansas,,2021,,,Sports,N,,
0,Califronia,,,,,Sports,,,
0,Colorado ,,,,,Sports,,,
0,Connecticut,,,,,Sports,,,
0,Delaware ,,,,,Sports,,,
0,District of Columbia ,,,,,Sports,,,
1,Florida,,2021,,,Sports,N,,
0,Georgia,,,,,Sports,,,
0,Hawaii,,,,,Sports,,,
1,Idaho,,2020,,,Sports,N,caught up in court though,
0,Illinois,,,,,Sports,,,
1,Indiana,,2022,,,Sports,N,caught up in court though,
1,Iowa,,2022,,,Sports,N,,
0,Kansas,,,,,Sports,,,
1,Kentucky,,2022,,,Sports,N,,
1,Louisiana,,2022,,,Sports,N,,
0,Maine,,,,,Sports,,,
0,Maryland,,,,,Sports,,,
0,Massachusetts,,,,,Sports,,,
0,Michigan,,,,,Sports,,,
0,Minnesota,,,,,Sports,,,
1,Mississippi,,2021,,,Sports,N,,
0,Missouri,,,,,Sports,,,
1,Montana,,2021,,,Sports,N,caught up in court,
0,Nebraska,,,,,Sports,,,
0,Nevada,,,,,Sports,,,
0,New Hampshire,,,,,Sports,,,
0,New Jersey,,,,,Sports,,,
0,New Mexico,,,,,Sports,,,
0,New York,,,,,Sports,,,
0,North Carolina,,,,,Sports,,,
0,North Dakota,,,,,Sports,,,
0,Ohio,,,,,Sports,,,
1,Oklahoma ,,2022,,,Sports,N,,
0,Oregon,,,,,Sports,,,
0,Pennsylvania,,,,,Sports,,,
0,Rhode Island,,,,,Sports,,,
1,South Carolina,,2022,,,Sports,N,,
1,South Dakota,,2022,,,Sports,N,,
1,South Dakota,,2021,,,Sports,N,executive order ,
1,Tennessee,,2021,,,Sports,N,,
1,Tennessee,,2022,,,Sports,N,,
1,Tennessee,,2022,,,Sports,N,requires compliance of schools ,
1,Texas,,2021,,,Sports,N,,
1,Utah,,2022,,,Sports,N,"overridden veto, caught up in court",
0,Vermont,,,,,Sports,,,
0,Virginia,,,,,Sports,,,
0,Washington,,,,,Sports,N,,
1,West Virginia,,2021,,,Sports,N,,
0,Wisconsin,,,,,Sports,,,
0,Wyoming,,,,,Sports,,,
