state,pew_bornagain,num,weight,total,evangelical_pop
AK,1,33,0.960751044173289,135,23.4850255242359
AL,1,454,0.96109708808665,941,46.3696150894091
AR,1,258,1.01614178201552,546,48.0154907985358
AZ,1,385,1.07772917795989,1625,25.5338912932036
CA,1,1120,1.10381103952124,4933,25.061187193671
CO,1,253,1.09986417390378,1042,26.7049554700247
CT,1,82,0.937124619306745,597,12.8717284393891
DE,1,61,0.915957464329526,223,25.0553387103592
FL,1,1161,0.967392965662669,4426,25.3760332836502
GA,1,815,1.02115765901671,1988,41.8633547333311
HI,1,47,1.16932388803914,208,26.4222224701151
IA,1,134,0.931063773780074,595,20.9684950733664
ID,1,65,1.08150627927971,304,23.1243118924938
IL,1,573,0.979102475523161,2231,25.1468273632798
IN,1,414,0.946195079907437,1282,30.555753750521
KS,1,150,1.01609234740686,463,32.9187585552979
KY,1,396,0.979066623602708,946,40.9841842438343
LA,1,273,0.989388348792831,717,37.6712718578023
MA,1,106,0.908432142007911,1096,8.78593130044147
MD,1,230,1.00919725573554,1018,22.8011167798796
ME,1,53,0.97953195696626,323,16.0728153929448
MI,1,493,0.985144357394081,1953,24.8682113771266
MN,1,194,1.00158991883627,993,19.5678191595405
MO,1,459,0.976934802628765,1297,34.5730974870164
MS,1,262,0.977842738131372,482,53.1524475913733
MT,1,42,1.07207598819681,224,20.1014247786902
NC,1,767,0.993823575645662,1993,38.2469986211853
ND,1,28,0.915953566096572,129,19.8811626749643
NE,1,81,0.980998103074035,347,22.8993793512959
NH,1,36,0.956492400217654,286,12.0397644782642
NJ,1,255,0.916841175613639,1573,14.8629688354404
NM,1,103,1.05587881245575,415,26.2061488392632
NV,1,165,1.07458941385875,758,23.3914582172418
NY,1,648,0.950024372749571,3718,16.5577136509339
OH,1,678,0.974560476566735,2515,26.2724454517792
OK,1,271,0.947708851412245,686,37.4386441301339
OR,1,186,1.13109180925429,970,21.6889769609586
PA,1,662,0.983449059313893,3106,20.9608266988344
RI,1,17,0.884695508869262,197,7.63442824912562
SC,1,399,1.00933632730597,978,41.1784452551209
SD,1,53,0.924466346153649,171,28.6530504948207
TN,1,591,0.963308534533194,1312,43.392937797951
TX,1,1609,0.994360895679564,4750,33.6826669715456
UT,1,57,1.04789403732538,503,11.8747435641246
VA,1,514,0.997828559819482,1646,31.1594094621637
VT,1,17,0.890617266153588,112,13.5182977898312
WA,1,273,1.11385700691051,1275,23.8496441479662
WI,1,242,1.0018109985421,1253,19.3486242336143
WV,1,186,0.929535726369555,458,37.74970417134
WY,1,21,1.0834110582455,96,23.6996168991204
