state_name,year,population_total,ID,female_pop,male_pop,black_pop,pct_hispanic,pct_white,white_pop,hispanic_pop,pct_female,pct_male,pct_black,hs_educ,hs_pct,college_educ,college_pct,incomepcap,evangelical_pop,pollib_median,state_num,unified,party_control,state.x,state_no,std_bowen1,std_bowen2,popfemale,popmale,pop_black,pop_white,pctblack.y,init,initiatives,std_init_use
NEW YORK,1987,17825000,32,,,2909894,,,,,,,,,,,,18978,6.5,-1.60462837060587,,0,"",NY,32,-0.6131233,0.88131964,,,,,0.151282444596291,1,0,-0.290064643871566
NORTH CAROLINA,1987,6413000,33,,,1407587,,,,,,,,,,,,14241,40,1.03462240328844,,0,"",NC,33,-0.37812349,-0.44602573,,,,,0.221115931868553,1,0,-0.290064643871566
NORTH DAKOTA,1987,672000,34,,,3416,,,,,,,,,,,,13589,12.2,0.794653733257731,,0,"",ND,34,-1.4354267,0.13803853,,,,,0.00485236896201968,2,0,-0.290064643871566
OHIO,1987,10784000,35,,,1122464,,,,,,,,,,,,15529,13.8,-0.252430213791399,,0,"",OH,35,4.4785709,-2.3236535,,,,,0.102854616940022,2,1,0.339392154505543
OKLAHOMA,1987,3272000,36,,,232729,,,,,,,,,,,,13455,47.200001,0.237917478616062,,0,"",OK,36,0.32055581,-0.6181764,,,,,0.0703449100255966,2,0,-0.290064643871566
OREGON,1987,2724000,37,,,42665,,,,,,,,,,,,14724,14.9,-0.956446531669097,,1,"",OR,37,-0.68109035,0.1750506,,,,,0.0161336306482553,2,0,-0.290064643871566
PENNSYLVANIA,1987,11936000,38,,,1087487,,,,,,,,,,,,15857,7.5,-0.563281290873162,,0,"",PA,38,2.1067607,0.076590635,,,,,0.0897043347358704,1,0,-0.290064643871566
RHODE ISLAND,1987,986000,39,,,39517,,,,,,,,,,,,16387,2.5999999,-1.24611962309752,,0,"",RI,39,-0.99395561,-0.39328372,,,,,0.0357829630374908,1,0,-0.290064643871566
SOUTH CAROLINA,1987,3425000,40,,,1008382,,,,,,,,,,,,12939,44.400002,0.756175717233992,,0,"",SC,40,-0.059700634,-0.56677514,,,,,0.297738075256348,1,0,-0.290064643871566
SOUTH DAKOTA,1987,709000,41,,,3051,,,,,,,,,,,,13133,15.7,0.68710950192681,,1,"",SD,41,-1.43848,0.10704148,,,,,0.00420410512015224,2,0,-0.290064643871566
TENNESSEE,1987,4855000,42,,,755104,,,,,,,,,,,,13754,46.599998,0.592591865460016,,1,"",TN,42,-0.71706825,0.23063317,,,,,0.15876393020153,1,0,-0.290064643871566
TEXAS,1987,16789000,43,,,1987269,,,,,,,,,,,,14453,32.599998,0.603217518472652,,0,"",TX,43,-0.14137098,0.43675137,,,,,0.113327354192734,1,0,-0.290064643871566
UTAH,1987,1680000,44,,,11451,,,,,,,,,,,,12652,74,0.685503159712069,,1,"",UT,44,-1.4358916,0.30583709,,,,,0.00647676456719637,2,0,-0.290064643871566
VERMONT,1987,548000,45,,,1738,,,,,,,,,,,,14755,2.5,-0.637351985379341,,1,"",VT,45,-0.70710427,-0.7106477,,,,,0.00318749807775021,1,0,-0.290064643871566
VIRGINIA,1987,5904000,46,,,1114312,,,,,,,,,,,,17191,25.299999,0.617214210671227,,1,"",VA,46,-0.11233085,0.52198315,,,,,0.189270377159119,1,0,-0.290064643871566
WASHINGTON,1987,4538000,47,,,135057,,,,,,,,,,,,16090,13,-0.544890416549861,,1,"",WA,47,0.27390796,0.30367738,,,,,0.0303426459431648,2,1,0.339392154505543
WEST VIRGINIA,1987,1897000,48,,,59325,,,,,,,,,,,,11619,13.1,-0.267174526918317,,0,"",WV,48,-0.92026854,0.022986874,,,,,0.0310098957270384,1,0,-0.290064643871566
WISCONSIN,1987,4807000,49,,,223610,,,,,,,,,,,,15182,15,-0.981343626357926,,0,"",WI,49,0.82694143,0.010160331,,,,,0.0471099987626076,1,0,-0.290064643871566
WYOMING,1987,490000,50,,,3710,,,,,,,,,,,,14287,22.6,0.507513528916165,,0,"",WY,50,-1.5485404,0.22008482,,,,,0.00734895141795278,2,0,-0.290064643871566
ALABAMA,1988,4127000,51,,,1015878,,,,,,,,,,,,13639,56.700001,1.79702172838692,,0,"",AL,1,-1.0958773,-0.12651303,,,,,0.253955155611038,1,0,-0.290064643871566
ALASKA,1988,513000,52,,,21822,,,,,,,,,,,,19848,16.799999,-0.32546119628585,,0,"",AK,2,1.9701391,0.77498525,,,,,0.0382121987640858,2,2,0.968848952882653
ARIZONA,1988,3466000,53,,,109100,,,,,,,,,,,,15583,15.5,0.686806431743401,,0,"",AZ,3,0.41576687,-0.78148305,,,,,0.0295002851635218,2,1,0.339392154505543
ARKANSAS,1988,2422000,54,,,374526,,,,,,,,,,,,12855,46.400002,1.4493284477887,,1,"",AR,4,-1.0594815,0.29788938,,,,,0.162493303418159,2,3,1.59830575125976
CALIFORNIA,1988,28168000,55,,,2190151,,,,,,,,,,,,19515,10.9,-1.27731604056276,,0,"",CA,5,5.9896784,2.4293506,,,,,0.0760990381240845,2,15,9.15178733178508
COLORADO,1988,3290000,56,,,132337,,,,,,,,,,,,17072,13.6,0.177828949996975,,0,"",CO,6,0.68803728,-1.217082,,,,,0.0384411513805389,2,8,4.74558974314531
CONNECTICUT,1988,3241000,57,,,271015,,,,,,,,,,,,23557,5.4000001,-0.712396753253701,,1,"",CT,7,0.22664899,-0.26158458,,,,,0.0796192139387131,1,0,-0.290064643871566
DELAWARE,1988,660000,58,,,108667,,,,,,,,,,,,18819,11.5,-0.325510113059035,,0,"",DE,8,0.43314573,-0.79756671,,,,,0.168616205453873,1,0,-0.290064643871566
FLORIDA,1988,12377000,59,,,1677163,,,,,,,,,,,,17291,19.6,1.10242705022164,,0,"",FL,9,0.3895444,0.87182647,,,,,0.139687836170197,2,2,0.968848952882653
GEORGIA,1988,6401000,60,,,1702886,,,,,,,,,,,,15721,41.5,1.3754845041276,,1,"",GA,10,-0.92296535,0.18579619,,,,,0.268276035785675,1,0,-0.290064643871566
HAWAII,1988,1093000,61,,,26467,,,,,,,,,,,,18496,9.8000002,-1.22791872108758,,1,"",HI,11,0.056244627,0.19911325,,,,,0.0229940004646778,1,0,-0.290064643871566
IDAHO,1988,999000,62,,,3371,,,,,,,,,,,,13437,35.799999,0.488617605877115,,0,"",ID,12,-1.0666804,-0.44781342,,,,,0.00328530790284276,2,0,-0.290064643871566
ILLINOIS,1988,11544000,63,,,1692861,,,,,,,,,,,,18551,14,-0.396368114143462,,0,"",IL,13,1.0317093,0.51597536,,,,,0.153664723038673,2,0,-0.290064643871566
INDIANA,1988,5575000,64,,,423180,,,,,,,,,,,,15424,19.4,0.219721495438739,,1,"",IN,14,-0.65658468,0.23648259,,,,,0.0779220759868622,1,0,-0.290064643871566
IOWA,1988,2834000,65,,,46056,,,,,,,,,,,,15206,11.9,-0.383056071624394,,0,"",IA,15,-0.19381107,-0.41122103,,,,,0.0167562868446112,1,0,-0.290064643871566
KANSAS,1988,2487000,66,,,141836,,,,,,,,,,,,16207,18.1,0.174062801539564,,1,"",KS,16,-0.82707322,-0.39398232,,,,,0.0558927990496159,1,0,-0.290064643871566
KENTUCKY,1988,3721000,67,,,261557,,,,,,,,,,,,13553,39.799999,0.508811748083412,,1,"",KY,17,-1.1614263,0.38709936,,,,,0.0708603784441948,1,0,-0.290064643871566
LOUISIANA,1988,4420000,68,,,1310068,,,,,,,,,,,,13029,31.700001,0.828101382524129,,1,"",LA,18,0.20261919,-0.15144576,,,,,0.299329996109009,1,0,-0.290064643871566
MAINE,1988,1206000,69,,,4847,,,,,,,,,,,,15593,3.3,-0.688637816111426,,0,"",ME,19,-0.52492458,-0.62118751,,,,,0.00398883363232017,2,0,-0.290064643871566
MARYLAND,1988,4644000,70,,,1144618,,,,,,,,,,,,20468,13.4,-0.687066163071788,,1,"",MD,20,-0.086127751,0.11293641,,,,,0.243277177214623,1,0,-0.290064643871566
MASSACHUSETTS,1988,5871000,71,,,313025,,,,,,,,,,,,21127,3.3,-1.22346526145226,,1,"",MA,21,-0.47705486,0.63407362,,,,,0.0473849698901177,2,3,1.59830575125976
MICHIGAN,1988,9300000,72,,,1263765,,,,,,,,,,,,16894,14.5,-0.804264714368288,,0,"",MI,22,4.3080134,-2.1438696,,,,,0.138347819447517,2,0,-0.290064643871566
MINNESOTA,1988,4306000,73,,,87988,,,,,,,,,,,,17351,12.1,-0.709793149185154,,1,"",MN,23,0.1576355,0.33381969,,,,,0.0200977213680744,1,0,-0.290064643871566
MISSISSIPPI,1988,2627000,74,,,913384,,,,,,,,,,,,11566,55.200001,1.56196856464592,,1,"",MS,24,-0.42802915,-0.56271237,,,,,0.349795311689377,1,0,-0.290064643871566
MISSOURI,1988,5139000,75,,,543758,,,,,,,,,,,,15926,29.5,0.201654586329707,,0,"",MO,25,0.3741816,-0.63608974,,,,,0.10612615197897,2,2,0.968848952882653
MONTANA,1988,804000,76,,,2334,,,,,,,,,,,,13241,14.1,-0.303628885302559,,0,"",MT,26,-1.3104514,0.053967014,,,,,0.00281479628756642,2,2,0.968848952882653
NEBRASKA,1988,1601000,77,,,55477,,,,,,,,,,,,15915,16.9,-0.0100183494802731,,0,"",NE,27,-0.31645337,-0.16973768,,,,,0.0346952490508556,2,2,0.968848952882653
NEVADA,1988,1060000,78,,,69915,,,,,,,,,,,,18052,14.4,0.63745745271313,,0,"",NV,28,-0.86132604,0.040774722,,,,,0.0665976330637932,2,1,0.339392154505543
NEW HAMPSHIRE,1988,1097000,79,,,6772,,,,,,,,,,,,19361,2.5999999,0.135986307206248,,1,"",NH,29,-1.7556112,0.29169118,,,,,0.00602109124884009,1,0,-0.290064643871566
NEW JERSEY,1988,7720000,80,,,1045381,,,,,,,,,,,,21763,5.8000002,-1.35276732343399,,0,"",NJ,30,0.74559498,1.1397375,,,,,0.13174569606781,1,0,-0.290064643871566
NEW MEXICO,1988,1510000,81,,,30634,,,,,,,,,,,,13227,20.700001,-0.0262028040407406,,0,"",NM,31,-1.4323794,0.3138566,,,,,0.0191881321370602,1,0,-0.290064643871566
NEW YORK,1988,17898000,82,,,2973589,,,,,,,,,,,,20720,6.5,-1.5969823457533,,0,"",NY,32,-0.6131233,0.88131964,,,,,0.153800442814827,1,0,-0.290064643871566
NORTH CAROLINA,1988,6526000,83,,,1424539,,,,,,,,,,,,15341,40,0.95751266469566,,0,"",NC,33,-0.37812349,-0.44602573,,,,,0.219825997948647,1,0,-0.290064643871566
NORTH DAKOTA,1988,663000,84,,,3525,,,,,,,,,,,,12653,12.2,0.790886164155401,,0,"",ND,34,-1.4354267,0.13803853,,,,,0.00505607854574919,2,2,0.968848952882653
OHIO,1988,10872000,85,,,1135182,,,,,,,,,,,,16549,13.8,-0.344893501308208,,0,"",OH,35,4.4785709,-2.3236535,,,,,0.103564478456974,2,0,-0.290064643871566
OKLAHOMA,1988,3263000,86,,,232648,,,,,,,,,,,,14166,47.200001,0.311604410052743,,0,"",OK,36,0.32055581,-0.6181764,,,,,0.0712508708238602,2,0,-0.290064643871566
OREGON,1988,2741000,87,,,44255,,,,,,,,,,,,15776,14.9,-0.998392862706206,,1,"",OR,37,-0.68109035,0.1750506,,,,,0.0164567399770021,2,5,2.85721934801398
PENNSYLVANIA,1988,12027000,88,,,1096280,,,,,,,,,,,,17067,7.5,-0.525825998375344,,0,"",PA,38,2.1067607,0.076590635,,,,,0.0900750011205673,1,0,-0.290064643871566
RHODE ISLAND,1988,995000,89,,,40855,,,,,,,,,,,,17909,2.5999999,-1.30707001102961,,0,"",RI,39,-0.99395561,-0.39328372,,,,,0.0366928391158581,1,0,-0.290064643871566
SOUTH CAROLINA,1988,3493000,90,,,1017794,,,,,,,,,,,,13906,44.400002,0.851951904523474,,0,"",SC,40,-0.059700634,-0.56677514,,,,,0.300441473722458,1,0,-0.290064643871566
SOUTH DAKOTA,1988,715000,91,,,3161,,,,,,,,,,,,13631,15.7,0.703745209422606,,1,"",SD,41,-1.43848,0.10704148,,,,,0.00434971926733851,2,5,2.85721934801398
TENNESSEE,1988,4919000,92,,,765952,,,,,,,,,,,,14783,46.599998,0.592001396888369,,1,"",TN,42,-0.71706825,0.23063317,,,,,0.159872844815254,1,0,-0.290064643871566
TEXAS,1988,16780000,93,,,1994391,,,,,,,,,,,,15245,32.599998,0.634614489686806,,0,"",TX,43,-0.14137098,0.43675137,,,,,0.115191414952278,1,0,-0.290064643871566
UTAH,1988,1691000,94,,,11645,,,,,,,,,,,,13162,74,0.719592338743881,,1,"",UT,44,-1.4358916,0.30583709,,,,,0.00658764690160751,2,3,1.59830575125976
VERMONT,1988,556000,95,,,1834,,,,,,,,,,,,15822,2.5,-0.848565022452257,,1,"",VT,45,-0.70710427,-0.7106477,,,,,0.00327122793532908,1,0,-0.290064643871566
VIRGINIA,1988,5996000,96,,,1135018,,,,,,,,,,,,18442,25.299999,0.639925261437771,,1,"",VA,46,-0.11233085,0.52198315,,,,,0.188688039779663,1,0,-0.290064643871566
WASHINGTON,1988,4619000,97,,,141090,,,,,,,,,,,,17055,13,-0.510037032131805,,1,"",WA,47,0.27390796,0.30367738,,,,,0.0306438244879246,2,1,0.339392154505543
WEST VIRGINIA,1988,1884000,98,,,57968,,,,,,,,,,,,12532,13.1,-0.223087596660812,,0,"",WV,48,-0.92026854,0.022986874,,,,,0.0322467759251595,1,0,-0.290064643871566
WISCONSIN,1988,4858000,99,,,231313,,,,,,,,,,,,15953,15,-0.96707237722636,,0,"",WI,49,0.82694143,0.010160331,,,,,0.0483885407447815,1,0,-0.290064643871566
WYOMING,1988,471000,100,,,3706,,,,,,,,,,,,14821,22.6,0.446146680406633,,0,"",WY,50,-1.5485404,0.22008482,,,,,0.00760863721370697,2,0,-0.290064643871566
ALABAMA,1989,4118000,101,,,1018269,,,,,,,,,,,,14776,56.700001,1.80331259778585,,0,"",AL,1,-1.1837428,-0.024184249,,,,,0.254565715789795,1,0,-0.290064643871566
ALASKA,1989,527000,102,,,22443,,,,,,,,,,,,21525,16.799999,-0.381839574255489,,0,"",AK,2,1.075467,0.3540453,,,,,0.0394412949681282,2,0,-0.290064643871566
ARIZONA,1989,3556000,103,,,112936,,,,,,,,,,,,16281,15.5,0.719579634645105,,0,"",AZ,3,0.48708919,-0.94967037,,,,,0.0296909715980291,2,0,-0.290064643871566
ARKANSAS,1989,2406000,104,,,374693,,,,,,,,,,,,13727,46.400002,1.51430246144854,,1,"",AR,4,-1.0594815,0.29788938,,,,,0.162531867623329,2,0,-0.290064643871566
CALIFORNIA,1989,29063000,105,,,2247210,,,,,,,,,,,,20448,10.9,-1.43177288920134,,0,"",CA,5,5.9494314,2.978334,,,,,0.0748202428221703,2,0,-0.290064643871566
COLORADO,1989,3317000,106,,,134241,,,,,,,,,,,,18398,13.6,0.273728955662667,,0,"",CO,6,0.089784317,-0.49623236,,,,,0.0393942110240459,2,0,-0.290064643871566
CONNECTICUT,1989,3239000,107,,,277332,,,,,,,,,,,,25397,5.4000001,-0.902131305515051,,1,"",CT,7,0.17100979,-0.43617952,,,,,0.0813655108213425,1,0,-0.290064643871566
DELAWARE,1989,673000,108,,,111298,,,,,,,,,,,,20559,11.5,-0.236777806829274,,0,"",DE,8,-0.33269632,0.24371247,,,,,0.168364092707634,1,0,-0.290064643871566
FLORIDA,1989,12671000,109,,,1726067,,,,,,,,,,,,18734,19.6,1.03323636179253,,0,"",FL,9,0.53908086,1.2879457,,,,,0.132145687937737,2,0,-0.290064643871566
GEORGIA,1989,6436000,110,,,1731061,,,,,,,,,,,,16658,41.5,1.32661934464531,,1,"",GA,10,-0.97908884,0.24291815,,,,,0.268492490053177,1,0,-0.290064643871566
HAWAII,1989,1112000,111,,,27339,,,,,,,,,,,,20285,9.8000002,-1.41855516204495,,1,"",HI,11,0.14876361,0.38311663,,,,,0.0238583628088236,1,0,-0.290064643871566
IDAHO,1989,1014000,112,,,3471,,,,,,,,,,,,14632,35.799999,0.557005007618644,,0,"",ID,12,-1.060876,-0.43936518,,,,,0.00332263368181884,2,0,-0.290064643871566
ILLINOIS,1989,11658000,113,,,1700760,,,,,,,,,,,,19672,14,-0.392821267379451,,0,"",IL,13,1.0671631,0.30394492,,,,,0.153844729065895,2,0,-0.290064643871566
INDIANA,1989,5593000,114,,,429389,,,,,,,,,,,,16668,19.4,0.0855378574389077,,0,"",IN,14,-0.56748182,0.20262666,,,,,0.0782421231269836,1,0,-0.290064643871566
IOWA,1989,2840000,115,,,47359,,,,,,,,,,,,16484,11.9,-0.468865608698457,,0,"",IA,15,-0.22895215,-0.29865536,,,,,0.0169656425714493,1,0,-0.290064643871566
KANSAS,1989,2513000,116,,,143181,,,,,,,,,,,,17008,18.1,0.169670862738253,,1,"",KS,16,-0.8079589,-0.39692643,,,,,0.0565616004168987,1,0,-0.290064643871566
KENTUCKY,1989,3727000,117,,,262396,,,,,,,,,,,,14530,39.799999,0.597996530060045,,1,"",KY,17,-1.0905766,0.32005727,,,,,0.0709581598639488,1,0,-0.290064643871566
LOUISIANA,1989,4382000,118,,,1306791,,,,,,,,,,,,13963,31.700001,0.872687433229354,,1,"",LA,18,-0.19034007,-0.07169468,,,,,0.30074417591095,1,0,-0.290064643871566
MAINE,1989,1222000,119,,,5064,,,,,,,,,,,,16683,3.3,-0.755629211284714,,0,"",ME,19,-0.66932195,-0.35515261,,,,,0.00413524964824319,2,2,0.968848952882653
MARYLAND,1989,4694000,120,,,1173201,,,,,,,,,,,,21733,13.4,-0.703796389135487,,1,"",MD,20,0.0781703,-0.010346791,,,,,0.248223587870598,1,0,-0.290064643871566
MASSACHUSETTS,1989,5913000,121,,,322508,,,,,,,,,,,,22095,3.3,-1.45658117664723,,1,"",MA,21,3.4503553,-3.0993967,,,,,0.0487033165991306,2,0,-0.290064643871566
