state_name,year,hs_educ,hs_pct,college_educ,college_pct
OKLAHOMA,2011,904091.651,23.8914563405435,421752.211,11.145191446563
OREGON,2011,773723.839,20.002017434852,514746.281,13.307027091726
PENNSYLVANIA,2011,3657033.384,28.6962359231221,1586014.08,12.4452334551271
RHODE ISLAND,2011,219108.382,20.8546343868439,149261.144,14.2066066020334
SOUTH CAROLINA,2011,1108725.784,23.7244430331317,518337.572,11.0913540356935
SOUTH DAKOTA,2011,192333.942,23.3530326265522,102750.426,12.4758741271478
TENNESSEE,2011,1661937.504,25.9686377687257,703430.001,10.991459575139
TEXAS,2011,4878539.065,19.033166817378,3032792.375,11.8321576248046
UTAH,2011,474912.166,16.8746841096709,342008.343,12.1523160790052
VERMONT,2011,147992.836,23.618692227159,100523.34,16.0428700015321
VIRGINIA,2011,1629676.162,20.1085753340414,1210647.727,14.9381831734528
WASHINGTON,2011,1287434.538,18.8683007421518,985158.982,14.4382299857238
WEST VIRGINIA,2011,598706.278,32.276871844857,166588.311,8.98094735695787
WISCONSIN,2011,1442766.579,25.2680604177733,716142.368,12.5422427201589
WYOMING,2011,132982.423,23.4389735897743,65825.073,11.6020757690057
ALABAMA,2012,1145478.376,23.7551412757675,506423.504,10.5023037841172
ALASKA,2012,162399.86,22.2024857508863,83823.024,11.4598589922196
ARIZONA,2012,1237420.964,18.8825395013623,781964.228,11.9324553675998
ARKANSAS,2012,784143.264,26.5889600699325,288030.636,9.76662738955984
CALIFORNIA,2012,6251002.404,16.4320910228664,5214825.924,13.7082804826212
COLORADO,2012,894188.452,17.2370952786867,873547.857,16.8392105801894
CONNECTICUT,2012,783500.769,21.8224246570039,548033.88,15.2640923008277
DELAWARE,2012,223305.02,24.3492495845564,120389.172,13.127273163434
FLORIDA,2012,4578848.094,23.7030256293132,2475737.527,12.8159897094707
GEORGIA,2012,2123495.954,21.4063278979873,1213349.084,12.2314093878545
HAWAII,2012,323670.168,23.2469400199524,198579.213,14.262541037827
IDAHO,2012,332902.612,20.8621150973098,185810.708,11.6442594226585
ILLINOIS,2012,2654308.316,20.6155786118411,1835246.086,14.2540562186924
INDIANA,2012,1707813.735,26.1240091909026,698035.23,10.6776742629335
IOWA,2012,739725.759,24.0624919572205,401406.541,13.0573277283808
KANSAS,2012,593053.272,20.5499928791835,387742.404,13.4357300049724
KENTUCKY,2012,1151287.401,26.2826102321355,409416.669,9.34652696148653
LOUISIANA,2012,1179828.683,25.6378990776187,468663.42,10.1841442206501
MAINE,2012,366393.512,27.5651306959416,182447.937,13.7262289420941
MARYLAND,2012,1201880.205,20.424289875051,864474.639,14.6905494766561
MASSACHUSETTS,2012,1372880.131,20.6567918329786,1113432.638,16.7530621966662
MICHIGAN,2012,2302563.39,23.2973744758867,1142919.276,11.5640761441453
MINNESOTA,2012,1077747.546,20.0356887226748,865636.866,16.092479967519
MISSISSIPPI,2012,680371.885,22.7935930404975,265145.579,8.88281917206658
MISSOURI,2012,1450457.497,24.0860243660399,722492.532,11.9975750864997
MONTANA,2012,233734.683,23.2539198978054,145800.172,14.5054447087523
NEBRASKA,2012,380581.451,20.5107153501031,253187.079,13.6450373344471
NEVADA,2012,612865.538,22.2138769690145,287393.169,10.4168306130164
NEW HAMPSHIRE,2012,308063.689,23.325470615226,214790.555,16.2631655660027
NEW JERSEY,2012,1962463.524,22.1382322701896,1466763.2,16.5463174269763
NEW MEXICO,2012,418898.89,20.0858910266799,212738.45,10.2006508632305
NEW YORK,2012,4080198.209,20.8489718609271,2820780.13,14.4136050612713
NORTH CAROLINA,2012,2038520.061,20.9034536656975,1251324.92,12.8313735961575
NORTH DAKOTA,2012,151696.888,21.6825067035625,97197.394,13.8927249909952
OHIO,2012,3023856.52,26.1936727671195,1343537.12,11.6381751048685
OKLAHOMA,2012,913528.176,23.9468225499499,421566.888,11.0507674805102
OREGON,2012,781032.107,20.0297871723848,525562.722,13.4782032301256
PENNSYLVANIA,2012,3632458.751,28.4596584441804,1634596.865,12.8067712975464
RHODE ISLAND,2012,232256.952,22.1135600385417,147479.639,14.0417749540128
SOUTH CAROLINA,2012,1091923.309,23.1157353849919,540602.254,11.4444105634475
SOUTH DAKOTA,2012,201484.164,24.1775000779981,105049.532,12.6056312203457
TENNESSEE,2012,1655567.219,25.6428888906443,735249.372,11.3881923589307
TEXAS,2012,4939357.857,18.9543703888411,3102670.758,11.9062381071286
UTAH,2012,473583.181,16.5861848913962,356391.249,12.4818012690143
VERMONT,2012,150057.206,23.9703784757776,102239.708,16.3319347423608
