state,year,pollib_median,state_fips,state_name,stateno,state_icpsr
AZ,2000,0.871652444977823,4,ARIZONA,3,61
AZ,2001,0.799606349432271,4,ARIZONA,3,61
AZ,2002,0.709305763271065,4,ARIZONA,3,61
AZ,2003,0.575987960527798,4,ARIZONA,3,61
AZ,2004,0.651771561118011,4,ARIZONA,3,61
AZ,2005,0.688909371224157,4,ARIZONA,3,61
AZ,2006,0.675736637446743,4,ARIZONA,3,61
AZ,2007,0.500094615539356,4,ARIZONA,3,61
AZ,2008,0.76013412912509,4,ARIZONA,3,61
AZ,2009,0.875326447515278,4,ARIZONA,3,61
AZ,2010,1.03430689413486,4,ARIZONA,3,61
AZ,2011,1.12317348056358,4,ARIZONA,3,61
AZ,2012,1.2956437177543,4,ARIZONA,3,61
AZ,2013,1.33559110284661,4,ARIZONA,3,61
AZ,2014,1.31872998042465,4,ARIZONA,3,61
AZ,2015,1.33819278693952,4,ARIZONA,3,61
AZ,2016,1.3599634265951,4,ARIZONA,3,61
AZ,2017,1.24114789466698,4,ARIZONA,3,61
AZ,2018,1.23476765841505,4,ARIZONA,3,61
AZ,2019,1.13166190733728,4,ARIZONA,3,61
AZ,2020,1.10168818463694,4,ARIZONA,3,61
CA,1987,-1.1310660239695,6,CALIFORNIA,5,71
CA,1988,-1.27731604056276,6,CALIFORNIA,5,71
CA,1989,-1.43177288920134,6,CALIFORNIA,5,71
CA,1990,-1.5412552560358,6,CALIFORNIA,5,71
CA,1991,-1.51683463944048,6,CALIFORNIA,5,71
CA,1992,-1.74516702283514,6,CALIFORNIA,5,71
CA,1993,-1.67944495318338,6,CALIFORNIA,5,71
CA,1994,-1.68584712764043,6,CALIFORNIA,5,71
CA,1995,-1.71010919486679,6,CALIFORNIA,5,71
CA,1996,-1.7392181874565,6,CALIFORNIA,5,71
CA,1997,-1.7030846659813,6,CALIFORNIA,5,71
CA,1998,-1.75580501630274,6,CALIFORNIA,5,71
CA,1999,-2.08535484629938,6,CALIFORNIA,5,71
CA,2000,-1.98098975994841,6,CALIFORNIA,5,71
CA,2001,-2.04039885314041,6,CALIFORNIA,5,71
CA,2002,-2.16789923499595,6,CALIFORNIA,5,71
CA,2003,-2.35266693508216,6,CALIFORNIA,5,71
CA,2004,-2.35509646287781,6,CALIFORNIA,5,71
CA,2005,-2.30941346675673,6,CALIFORNIA,5,71
CA,2006,-2.21349682578106,6,CALIFORNIA,5,71
CA,2007,-2.22445226408182,6,CALIFORNIA,5,71
CA,2008,-2.14013436488901,6,CALIFORNIA,5,71
CA,2009,-2.08649697130963,6,CALIFORNIA,5,71
CA,2010,-2.08835224624303,6,CALIFORNIA,5,71
CA,2011,-2.1772601043097,6,CALIFORNIA,5,71
CA,2012,-2.23656933509537,6,CALIFORNIA,5,71
CA,2013,-2.36096318534182,6,CALIFORNIA,5,71
CA,2014,-2.73838787484884,6,CALIFORNIA,5,71
CA,2015,-2.84769581150281,6,CALIFORNIA,5,71
CA,2016,-3.08394860137946,6,CALIFORNIA,5,71
CA,2017,-3.42642522620464,6,CALIFORNIA,5,71
CA,2018,-3.43389700416677,6,CALIFORNIA,5,71
CA,2019,-3.479274702858,6,CALIFORNIA,5,71
CA,2020,-3.61103971874294,6,CALIFORNIA,5,71
CO,1987,0.176056263618642,8,COLORADO,6,62
CO,1988,0.177828949996975,8,COLORADO,6,62
CO,1989,0.273728955662667,8,COLORADO,6,62
CO,1990,0.1376228612399,8,COLORADO,6,62
CO,1991,0.153074807387827,8,COLORADO,6,62
CO,1992,0.166868913997359,8,COLORADO,6,62
CO,1993,0.223081982911033,8,COLORADO,6,62
CO,1994,0.230813923225777,8,COLORADO,6,62
CO,1995,0.271925257227605,8,COLORADO,6,62
CO,1996,0.281886347232116,8,COLORADO,6,62
CO,1997,0.264855549555216,8,COLORADO,6,62
CO,1998,0.341719615960803,8,COLORADO,6,62
CO,1999,0.359123867798947,8,COLORADO,6,62
CO,2000,0.411447042061162,8,COLORADO,6,62
CO,2001,0.369760408003777,8,COLORADO,6,62
CO,2002,0.423076686745331,8,COLORADO,6,62
CO,2003,0.511951844508987,8,COLORADO,6,62
CO,2004,0.454484630591055,8,COLORADO,6,62
CO,2005,0.402391727243628,8,COLORADO,6,62
CO,2006,0.444026887249073,8,COLORADO,6,62
CO,2007,0.270692746840029,8,COLORADO,6,62
CO,2008,0.103674024234906,8,COLORADO,6,62
CO,2009,0.116010579898113,8,COLORADO,6,62
CO,2010,0.00258995623296049,8,COLORADO,6,62
CO,2011,-0.045639676023412,8,COLORADO,6,62
CO,2012,-0.0523737573213629,8,COLORADO,6,62
CO,2013,-0.147938428307445,8,COLORADO,6,62
CO,2014,-0.21123891701359,8,COLORADO,6,62
CO,2015,-0.15735520729343,8,COLORADO,6,62
CO,2016,-0.16057779482962,8,COLORADO,6,62
CO,2017,-0.172472688400637,8,COLORADO,6,62
CO,2018,-0.25101372012602,8,COLORADO,6,62
CO,2019,-0.604047812827248,8,COLORADO,6,62
CO,2020,-0.72864816598576,8,COLORADO,6,62
CT,1987,-0.662700346326531,9,CONNECTICUT,7,1
CT,1988,-0.712396753253701,9,CONNECTICUT,7,1
CT,1989,-0.902131305515051,9,CONNECTICUT,7,1
CT,1990,-0.92558368947285,9,CONNECTICUT,7,1
CT,1991,-1.12992713645957,9,CONNECTICUT,7,1
CT,1992,-1.06103244337433,9,CONNECTICUT,7,1
CT,1993,-1.30610451671903,9,CONNECTICUT,7,1
CT,1994,-1.3753267604971,9,CONNECTICUT,7,1
CT,1995,-1.39705901945501,9,CONNECTICUT,7,1
CT,1996,-1.26690642500171,9,CONNECTICUT,7,1
CT,1997,-1.25795097492968,9,CONNECTICUT,7,1
CT,1998,-1.38923006160426,9,CONNECTICUT,7,1
CT,1999,-1.55984291954287,9,CONNECTICUT,7,1
CT,2000,-1.5141824658077,9,CONNECTICUT,7,1
CT,2001,-1.45911239673011,9,CONNECTICUT,7,1
CT,2002,-1.4288551504468,9,CONNECTICUT,7,1
CT,2003,-1.51145055686266,9,CONNECTICUT,7,1
CT,2004,-1.65335111415506,9,CONNECTICUT,7,1
CT,2005,-1.72435202147372,9,CONNECTICUT,7,1
CT,2006,-1.67985051912088,9,CONNECTICUT,7,1
CT,2007,-1.5690539000032,9,CONNECTICUT,7,1
CT,2008,-1.64086847800908,9,CONNECTICUT,7,1
CT,2009,-1.59589558252765,9,CONNECTICUT,7,1
CT,2010,-1.6495245624664,9,CONNECTICUT,7,1
CT,2011,-1.94150037775208,9,CONNECTICUT,7,1
CT,2012,-2.08440644040106,9,CONNECTICUT,7,1
CT,2013,-2.1623054888535,9,CONNECTICUT,7,1
CT,2014,-2.21321979936264,9,CONNECTICUT,7,1
CT,2015,-2.25553931566107,9,CONNECTICUT,7,1
CT,2016,-2.37386711505581,9,CONNECTICUT,7,1
CT,2017,-2.48907861019177,9,CONNECTICUT,7,1
